id. Response ID,Year[Month Year...ate submitted]],Carmain,Previous Plug in HEVs,Previous BatteryEVs,Previous HybridEVs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Highest Level of Education,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual Vehicle MilesTraveled Estimate ,,,,,,,
FCV_1_31,2017,2017 Toyota Mirai,0,0,0,,2.92,1,4,27,2,65,0,2,8850,,,,,,,
FCV_1_32,2017,2017 Toyota Mirai,0,0,0,125000,2.81,0,3,42.81,2,55,0,1,11142.85714,,,,,,,
FCV_1_33,2017,2017 Toyota Mirai,0,0,0,75000,2.53,0,3,5.8,3,55,1,2,9600,,,,,,,
FCV_1_34,2017,2016 Toyota Mirai,1,0,0,425000,-3,1,3,2.41,5,45,0,5,8492.307692,,,,,,,
FCV_1_35,2017,2017 Toyota Mirai,1,0,0,125000,0.92,0,3,7.16,2,55,0,2,13246,,,,,,,
FCV_1_37,2017,2017 Toyota Mirai,0,0,0,125000,2.91,1,2,25.86,2,55,1,3,13008,,,,,,,
FCV_1_38,2017,2016 Toyota Mirai,0,0,0,175000,2.69,1,4,0.73,4,45,0,2,7285.714286,,,,,,,
FCV_1_40,2017,2016 Toyota Mirai,0,0,0,475000,2.81,1,4,12.89,2,45,1,3,6720,,,,,,,
FCV_1_41,2017,2016 Toyota Mirai,1,0,0,325000,2.81,1,4,20.37,3,45,1,2,15331.5,,,,,,,
FCV_1_42,2017,2017 Toyota Mirai,0,0,1,500000,1.44,0,3,,2,65,0,1,10000,,,,,,,
FCV_1_266,2017,2015 Hyundai Tucson fuel cell,1,0,0,500000,2.04,1,4,47.79,4,45,0,2,16000,,,,,,,
FCV_1_44,2017,2017 Toyota Mirai,0,0,1,,2.72,1,3,,2,,,2,5220,,,,,,,
FCV_1_46,2017,2016 Toyota Mirai,0,1,0,325000,2.68,1,4,13.15,2,75,0,2,4920,,,,,,,
FCV_1_47,2017,2016 Toyota Mirai,0,0,0,,2.78,1,4,24.36,2,65,0,4,10542.85714,,,,,,,
FCV_1_48,2017,2017 Toyota Mirai,0,0,0,175000,,1,4,12.14,2,55,0,3,14000,,,,,,,
FCV_1_49,2017,2016 Toyota Mirai,1,1,0,,2.32,1,4,,2,65,0,2,8160,,,,,,,
FCV_1_50,2017,2016 Toyota Mirai,0,0,0,75000,,0,2,26.8,5,35,1,4,14400,,,,,,,
FCV_1_51,2017,2017 Toyota Mirai,1,0,0,175000,0.89,1,4,113.32,1,65,1,2,11475,,,,,,,
FCV_1_52,2017,2017 Toyota Mirai,1,0,0,175000,,0,4,12.7,3,45,1,2,5377.5,,,,,,,
FCV_1_53,2017,2017 Toyota Mirai,0,0,1,500000,2.87,1,4,25.03,4,65,0,5,11032,,,,,,,
FCV_1_54,2017,2016 Toyota Mirai,0,0,1,125000,2.72,0,4,15.76,1,45,0,2,11440,,,,,,,
FCV_1_56,2017,2017 Toyota Mirai,0,1,0,175000,2.63,1,3,28.6,4,55,0,3,11333.33333,,,,,,,
FCV_1_57,2017,2016 Toyota Mirai,0,0,1,225000,2.55,1,4,20.2,2,65,0,2,11621.05263,,,,,,,
FCV_1_59,2017,2017 Toyota Mirai,0,0,0,125000,2.81,1,4,37.27,4,35,0,2,6000,,,,,,,
FCV_1_60,2017,2016 Toyota Mirai,1,0,0,225000,1.28,1,4,66.35,2,55,1,2,24000,,,,,,,
FCV_1_61,2017,2017 Toyota Mirai,1,0,0,500000,2.65,1,4,44.1,5,45,0,5,15000,,,,,,,
FCV_1_62,2017,2016 Toyota Mirai,0,0,0,175000,2.63,1,4,28.75,1,45,0,1,12461.53846,,,,,,,
FCV_1_64,2017,2016 Toyota Mirai,0,0,1,,2.71,1,,24.8,1,55,0,1,6461.538462,,,,,,,
FCV_1_65,2017,2017 Toyota Mirai,1,0,0,325000,1.54,1,4,9.02,4,45,0,2,12000,,,,,,,
FCV_1_66,2017,2017 Toyota Mirai,1,0,1,,2.72,1,3,2.22,3,65,0,3,-18699,,,,,,,
FCV_1_67,2017,2016 Toyota Mirai,0,1,0,500000,0.93,1,1,34.17,5,18,0,3,15375,,,,,,,
FCV_1_68,2017,2016 Toyota Mirai,0,0,0,175000,,0,4,28.35,3,55,0,3,8400,,,,,,,
FCV_1_70,2017,2016 Toyota Mirai,0,0,1,125000,2.34,0,2,9.86,2,45,0,2,8666.666667,,,,,,,
FCV_1_71,2017,2016 Toyota Mirai,0,0,0,75000,0.96,0,3,6.84,1,45,1,1,9480,,,,,,,
FCV_1_73,2017,2016 Toyota Mirai,0,0,0,275000,1.1,1,4,16.47,4,45,0,2,12144,,,,,,,
FCV_1_74,2017,2017 Toyota Mirai,0,0,1,275000,2.69,1,4,6.72,5,55,0,4,17356,,,,,,,
FCV_1_75,2017,2017 Toyota Mirai,0,0,1,175000,-2.82,1,4,29.6,8,35,0,2,12056,,,,,,,
FCV_1_76,2017,2016 Toyota Mirai,0,0,1,225000,2.67,1,2,10.3,2,75,0,2,6635.294118,,,,,,,
FCV_1_77,2017,2016 Toyota Mirai,0,0,0,225000,1.42,1,4,19.33,7,45,0,2,16302,,,,,,,
FCV_1_78,2017,2016 Toyota Mirai,0,0,0,125000,2.72,1,4,23.06,2,55,0,3,10846.15385,,,,,,,
FCV_1_79,2017,2017 Toyota Mirai,0,0,0,500000,2.9,1,3,14.15,6,45,0,5,8700,,,,,,,
FCV_1_80,2017,2016 Toyota Mirai,0,0,0,275000,2.75,0,4,57.39,2,35,0,3,12480,,,,,,,
FCV_1_81,2017,2016 Toyota Mirai,0,0,0,,2.93,1,4,,2,75,0,2,3248,,,,,,,
FCV_1_82,2017,2017 Toyota Mirai,0,0,1,275000,1.64,1,4,34.32,3,25,0,4,12000,,,,,,,
FCV_1_85,2017,2017 Toyota Mirai,0,0,1,175000,1.37,1,3,3.33,2,35,0,2,14880,,,,,,,
FCV_1_86,2017,2017 Toyota Mirai,0,0,0,275000,1.77,1,4,15.57,3,45,0,2,9468,,,,,,,
FCV_1_89,2017,2017 Toyota Mirai,0,0,1,275000,2.56,1,4,14.25,2,65,1,2,6004,,,,,,,
FCV_1_90,2017,2016 Toyota Mirai,0,0,1,75000,2.42,0,3,2.71,1,65,0,2,11640,,,,,,,
FCV_1_91,2017,2017 Toyota Mirai,0,0,0,,2.69,1,,1.68,4,45,0,2,5100,,,,,,,
FCV_1_92,2017,2017 Toyota Mirai,0,0,1,175000,,1,3,1.27,2,75,0,2,2773.5,,,,,,,
FCV_1_93,2017,2016 Toyota Mirai,0,0,1,275000,1.96,1,3,11.79,3,65,0,3,7080,,,,,,,
FCV_1_94,2017,2016 Toyota Mirai,0,1,1,225000,2.68,1,3,53.78,2,45,0,3,11200,,,,,,,
FCV_1_95,2017,2017 Toyota Mirai,1,1,0,125000,0.18,1,4,42.8,3,55,0,3,9000,,,,,,,
FCV_1_96,2017,2017 Toyota Mirai,0,0,0,225000,2.7,1,3,18.05,4,45,0,2,15367.5,,,,,,,
FCV_1_99,2017,2016 Toyota Mirai,0,1,0,325000,,1,4,24.09,2,45,0,2,13200,,,,,,,
FCV_1_100,2017,2016 Toyota Mirai,1,0,0,125000,1.4,0,4,31.31,1,35,0,3,22000,,,,,,,
FCV_1_102,2017,2016 Toyota Mirai,0,1,0,175000,2.78,1,4,35.7,3,55,0,3,13400,,,,,,,
FCV_1_103,2017,2016 Toyota Mirai,1,0,1,225000,1.62,1,3,5.75,2,65,0,2,5478,,,,,,,
FCV_1_104,2017,2017 Toyota Mirai,0,0,1,375000,2.68,1,4,10.02,3,35,0,3,4500,,,,,,,
FCV_1_106,2017,2016 Toyota Mirai,0,0,0,125000,,1,3,19.31,6,35,0,3,10506.66667,,,,,,,
FCV_1_107,2017,2016 Toyota Mirai,0,1,0,225000,2.78,1,3,,4,45,0,2,7200,,,,,,,
FCV_1_108,2017,2016 Toyota Mirai,0,0,1,,0,1,3,4.13,2,75,0,3,11750,,,,,,,
FCV_1_109,2017,2016 Toyota Mirai,0,0,1,175000,2.85,1,3,39.33,2,65,0,3,10400,,,,,,,
FCV_1_110,,2017 Toyota Mirai,0,0,1,,,,,3.52,4,45,0,2,,,,,,,,
FCV_1_111,2017,2017 Toyota Mirai,0,0,0,125000,2.29,1,3,21.75,2,65,0,2,11492.57143,,,,,,,
FCV_1_112,2017,2016 Toyota Mirai,0,0,0,175000,2.59,1,3,20.34,5,55,0,4,9840,,,,,,,
FCV_1_114,2017,2016 Toyota Mirai,,,,225000,2.49,1,4,,1,55,0,1,10363.63636,,,,,,,
FCV_1_115,2017,2017 Toyota Mirai,0,0,0,275000,,1,4,9.58,2,65,0,2,7548,,,,,,,
FCV_1_116,,2016 Toyota Mirai,0,1,1,,,,,,,,,5,,,,,,,,
FCV_1_117,2017,2017 Toyota Mirai,0,0,1,475000,2.65,1,4,30.84,5,45,0,2,8494.5,,,,,,,
FCV_1_118,2017,2016 Toyota Mirai,0,0,1,275000,2.73,1,4,9.01,2,55,0,2,9428.4,,,,,,,
FCV_1_119,,2017 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_120,2017,2016 Toyota Mirai,0,0,1,225000,2.78,1,2,24.06,2,65,0,2,10661.53846,,,,,,,
FCV_1_121,2017,2016 Toyota Mirai,0,0,1,125000,2.19,1,3,2.39,8,65,0,4,5333.333333,,,,,,,
FCV_1_122,2017,2017 Toyota Mirai,1,0,0,125000,2.34,0,2,25.96,4,45,0,4,14590,,,,,,,
FCV_1_123,,2017 Toyota Mirai,0,1,0,,,,,6.59,2,55,0,2,,,,,,,,
FCV_1_124,2017,2017 Honda Clarity,0,0,0,275000,1.57,1,3,22.72,2,55,0,3,9820.8,,,,,,,
FCV_1_125,,2016 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_126,2017,2016 Toyota Mirai,0,0,1,225000,-2.99,1,4,8.16,2,65,0,5,5871.428571,,,,,,,
FCV_1_129,2017,2016 Toyota Mirai,0,0,1,175000,2.79,1,3,18.94,3,55,1,3,16219.38462,,,,,,,
FCV_1_128,2017,2016 Toyota Mirai,0,0,1,,1.5,0,4,15.03,2,80,0,2,10176,,,,,,,
FCV_1_130,2017,2017 Toyota Mirai,0,0,0,275000,2.77,0,3,1.1,4,45,0,2,8400,,,,,,,
FCV_1_131,2017,2017 Toyota Mirai,0,0,1,125000,2.78,1,3,5.49,2,65,0,2,4120,,,,,,,
FCV_1_132,2017,2017 Toyota Mirai,1,0,1,425000,2.84,1,4,18.66,3,45,0,2,6000,,,,,,,
FCV_1_133,2017,2016 Toyota Mirai,0,0,0,275000,1.11,1,4,22.01,3,65,0,3,12369.23077,,,,,,,
FCV_1_134,2017,2016 Toyota Mirai,0,0,0,175000,1.58,1,3,0.76,5,35,0,3,12000,,,,,,,
FCV_1_135,2017,2017 Toyota Mirai,0,0,0,,2.91,1,4,3.46,2,75,0,3,1560,,,,,,,
FCV_1_136,,2016 Toyota Mirai,0,1,1,,,,,,3,65,0,5,,,,,,,,
FCV_1_137,2017,2016 Toyota Mirai,0,0,1,75000,2.82,1,3,7.9,1,35,1,1,14760,,,,,,,
FCV_1_138,2017,2017 Toyota Mirai,0,0,1,,1.85,1,4,14.74,2,65,0,2,9936,,,,,,,
FCV_1_139,2017,2017 Toyota Mirai,0,0,1,175000,2.49,0,4,36.07,2,55,1,2,16188,,,,,,,
FCV_1_140,2017,2016 Toyota Mirai,0,0,1,,2.75,1,3,4.67,2,55,1,2,7200,,,,,,,
FCV_1_141,2017,2017 Toyota Mirai,0,0,0,475000,,1,3,3.96,4,65,0,5,10400,,,,,,,
FCV_1_142,2017,2016 Toyota Mirai,1,0,1,125000,1.55,1,3,0.1,4,55,0,2,7521.6,,,,,,,
FCV_1_143,,2017 Toyota Mirai,0,0,0,,,,,,,,,4,,,,,,,,
FCV_1_144,2017,2017 Toyota Mirai,1,0,0,225000,2.6,1,3,13.31,3,45,1,2,10714.28571,,,,,,,
FCV_1_145,2017,2017 Toyota Mirai,0,0,0,75000,2.77,0,3,20.32,1,65,0,2,15396,,,,,,,
FCV_1_146,2017,2016 Toyota Mirai,0,0,1,125000,2.72,1,3,12.87,2,55,1,2,16200,,,,,,,
FCV_1_147,2017,2016 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_148,2017,2017 Toyota Mirai,1,1,0,125000,2.9,1,2,24.72,2,55,0,2,124696,,,,,,,
FCV_1_149,2017,2016 Toyota Mirai,0,0,0,425000,-3,1,4,39.77,4,35,0,2,19950,,,,,,,
FCV_1_150,2017,2017 Toyota Mirai,1,1,0,125000,2.86,1,4,5.83,2,65,0,2,6960,,,,,,,
FCV_1_151,2017,2017 Toyota Mirai,0,0,1,325000,-1.85,1,4,14.6,2,35,0,2,8000,,,,,,,
FCV_1_152,2017,2017 Toyota Mirai,0,0,0,175000,0.39,1,3,43.23,4,55,0,4,8970,,,,,,,
FCV_1_153,,2016 Toyota Mirai,0,0,0,,,,,38.55,3,45,0,2,,,,,,,,
FCV_1_154,2017,2017 Toyota Mirai,0,0,0,125000,2.52,1,2,10.8,1,65,0,2,12688,,,,,,,
FCV_1_155,2017,2017 Toyota Mirai,0,0,1,,2.8,1,4,14.58,2,65,0,5,15000,,,,,,,
FCV_1_156,2017,2017 Toyota Mirai,0,0,1,225000,-3,1,3,1.19,2,55,0,2,5352,,,,,,,
FCV_1_157,,,,,,,,,,,,,,1,,,,,,,,
FCV_1_158,2017,2016 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_159,2017,2017 Toyota Mirai,0,1,0,275000,1.27,1,3,,2,65,0,3,13200,,,,,,,
FCV_1_160,2017,2017 Toyota Mirai,0,0,0,175000,0,0,3,24.21,2,35,1,2,11850,,,,,,,
FCV_1_161,2017,2017 Toyota Mirai,0,0,0,75000,2.74,1,4,,2,65,1,2,5148,,,,,,,
FCV_1_162,2017,2016 Toyota Mirai,0,0,1,125000,1.39,1,4,,1,75,1,1,8040,,,,,,,
FCV_1_163,2017,2016 Toyota Mirai,0,0,0,175000,2.75,1,4,4.93,2,35,0,1,20500,,,,,,,
FCV_1_165,2017,2017 Toyota Mirai,0,1,0,125000,1.34,0,3,1,2,65,0,2,-59200,,,,,,,
FCV_1_166,2017,2017 Toyota Mirai,0,0,0,125000,2.75,1,2,5.46,2,65,1,3,4336,,,,,,,
FCV_1_167,2017,2016 Toyota Mirai,0,0,1,125000,2.72,1,4,11.8,2,65,0,2,6947.368421,,,,,,,
FCV_1_168,2017,2017 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_169,2017,2017 Toyota Mirai,1,1,0,,-3,1,4,36.78,4,45,1,3,12800,,,,,,,
FCV_1_170,2017,2017 Toyota Mirai,0,0,1,125000,2.86,1,4,8,2,65,0,3,5142.857143,,,,,,,
FCV_1_171,2017,2016 Toyota Mirai,1,0,0,225000,2.87,1,2,51.41,2,55,0,2,27570,,,,,,,
FCV_1_172,,,,,,,,,,,,,,1,,,,,,,,
FCV_1_173,2017,2017 Toyota Mirai,0,0,1,75000,2.03,1,4,6.2,1,80,0,1,7100,,,,,,,
FCV_1_174,2017,2017 Toyota Mirai,0,0,1,225000,2.84,1,3,11.87,4,45,0,3,8500.8,,,,,,,
FCV_1_175,2017,2016 Toyota Mirai,1,0,0,275000,0.96,1,4,8.65,4,55,0,3,14000,,,,,,,
FCV_1_176,2017,2016 Toyota Mirai,0,0,0,175000,-0.74,1,4,14.17,4,45,0,3,9840,,,,,,,
FCV_1_177,2017,2017 Honda Clarity,0,1,1,500000,2.66,1,4,11.26,4,65,0,3,7680,,,,,,,
FCV_1_178,,,,,,,,,,,,,,1,,,,,,,,
FCV_1_179,2017,2016 Toyota Mirai,0,0,0,175000,0,1,3,47.62,3,35,0,3,10221.33333,,,,,,,
FCV_1_180,,2017 Honda Clarity,0,0,0,,,,,,,,,4,,,,,,,,
FCV_1_181,2017,2016 Toyota Mirai,1,0,0,175000,2.78,1,4,3.82,1,65,0,2,8800,,,,,,,
FCV_1_182,2017,2016 Toyota Mirai,0,0,1,,2.75,1,4,17.17,3,35,0,3,10920,,,,,,,
FCV_1_183,2017,-1 -1 -1,,,,,,,,,,,,1,,,,,,,,
FCV_1_184,2017,2015 Hyundai Tucson,,,,,,,,,,,,1,,,,,,,,
FCV_1_185,2017,2015 Hyundai Tuscan,0,0,0,325000,1.55,1,4,8.19,2,35,0,2,15333.33333,,,,,,,
FCV_1_186,,2017 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_187,,2016 Toyota Mirai,0,0,0,,,,,,2,55,1,2,,,,,,,,
FCV_1_188,2017,2017 Toyota Mirai,0,0,1,125000,2.61,1,4,33.27,3,55,1,4,12428.57143,,,,,,,
FCV_1_189,,2017 Toyota Mirai,0,0,0,,,,,,,,,2,,,,,,,,
FCV_1_190,2017,2015 hyundai tuscon,0,0,1,175000,2.56,1,3,8.17,2,65,0,3,11571.72414,,,,,,,
FCV_1_191,2017,2016 hyundai Tuscon,0,0,1,,2.46,1,4,34.83,4,45,1,2,22500,,,,,,,
FCV_1_192,,2016 Toyota Mirai,0,0,1,,,,,9.9,4,55,0,2,,,,,,,,
FCV_1_193,2017,2016 Toyota Mirai,0,1,1,275000,1.67,1,4,2.39,1,65,0,1,7764.705882,,,,,,,
FCV_1_194,,2016 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_195,2017,2016 Toyota Mirai,0,0,0,125000,0,1,3,20.46,4,,,4,14400,,,,,,,
FCV_1_196,2017,2017 Toyota Mirai,0,0,0,50000,2.81,1,3,,4,45,0,2,19500,,,,,,,
FCV_1_197,,-1 -1 -1,,,,,,,,,,,,1,,,,,,,,
FCV_1_198,2017,2016 Toyota Mirai,0,0,1,175000,2.64,1,2,18.77,2,65,0,2,14666.66667,,,,,,,
FCV_1_199,2017,2016 Toyota Mirai,0,0,0,225000,2.61,1,3,45.25,2,55,0,2,8666.666667,,,,,,,
FCV_1_200,2017,2017 Toyota Mirai,0,0,0,75000,2.95,0,2,21.82,2,45,1,3,13608,,,,,,,
FCV_1_201,,2017 Toyota Mirai,0,1,1,,,,,,,,,3,,,,,,,,
FCV_1_202,2017,2015 Hyundai Tucson,0,0,0,275000,2.49,1,4,16.62,4,45,0,2,16179.31034,,,,,,,
FCV_1_203,2017,2017 Hyundai  Tuscon,0,1,0,500000,0.72,1,4,26,5,55,0,4,20520,,,,,,,
FCV_1_204,2017,2015 Hyundai Tucson,0,0,1,375000,2.72,1,3,7.58,3,45,0,4,10181.81818,,,,,,,
FCV_1_205,,2016 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_206,2017,2017 Toyota Mirai,1,0,0,225000,2.42,1,4,5.58,2,65,0,2,8265,,,,,,,
FCV_1_207,2017,2016 Toyota Mirai,0,0,0,75000,2.51,0,2,51.6,1,35,0,2,14113.2,,,,,,,
FCV_1_208,2017,2017 Hyundi Tucson,0,1,0,425000,0.58,1,3,6.52,2,65,0,2,12564,,,,,,,
FCV_1_209,2017,2015 Hyundai  Tuscon,0,0,0,,2.77,1,4,5.82,2,65,1,3,10306.66667,,,,,,,
FCV_1_210,2017,2017 Toyota Mirai,1,0,1,325000,2.68,0,4,32.09,2,45,0,2,8250,,,,,,,
FCV_1_211,2017,2016 Toyota Mirai,0,0,0,175000,1.9,1,3,24.66,4,45,1,3,16860,,,,,,,
FCV_1_212,2017,2017 Toyota Mirai,1,1,0,225000,2.89,1,4,5.35,4,55,0,4,6000,,,,,,,
FCV_1_213,2017,2017 Toyota Mirai,0,0,0,,2.88,1,4,42.2,4,55,1,4,2400,,,,,,,
FCV_1_214,2017,2017 Toyota Mirai,0,0,1,,1.95,1,3,26.46,2,55,1,2,19800,,,,,,,
FCV_1_215,2017,2017 Toyota Mirai,0,0,0,225000,1.46,1,4,27.63,3,45,0,3,10600,,,,,,,
FCV_1_216,2017,2016 Toyota Mirai,0,0,1,50000,-1.76,1,4,4.5,3,55,0,3,10920,,,,,,,
FCV_1_217,2017,2014 Hyundai Tucson,0,1,0,125000,2.75,0,4,13.39,4,45,0,2,11272.72727,,,,,,,
FCV_1_218,2017,2017 Toyota Mirai,0,0,0,125000,1.53,0,3,13.96,1,45,0,1,14000,,,,,,,
FCV_1_219,2017,2015 Hyundai Tucson,0,0,0,175000,1.79,1,4,15.32,2,35,0,2,10838.70968,,,,,,,
FCV_1_220,2017,2016 Toyota Mirai,0,0,1,325000,,1,4,148.07,2,65,0,2,15789.47368,,,,,,,
FCV_1_221,2017,2015 Hyundai Tuscon,0,0,0,225000,,1,3,12.36,4,55,,3,15567.31034,,,,,,,
FCV_1_222,2017,2017 Toyota Mirai,0,0,1,75000,1.73,1,4,15.01,4,35,0,3,9840,,,,,,,
FCV_1_223,2017,2015 Hyundai Tucson,0,0,1,75000,2.63,1,4,15.03,3,45,1,2,12631.57895,,,,,,,
FCV_1_224,2017,2017 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_225,,2016 Hyundai  Tuscon Fuel Cell,0,1,1,,,,,,,,,4,,,,,,,,
FCV_1_226,,,,,,,,,,,,,,1,,,,,,,,
FCV_1_227,2017,2017 Toyota Mirai,0,0,1,375000,2.7,1,4,62.63,2,55,0,2,7500,,,,,,,
FCV_1_228,2017,2017 Toyota Mirai,0,0,1,75000,1.54,1,2,1.49,4,75,0,5,75000,,,,,,,
FCV_1_229,,,,,,,,,,,,,,1,,,,,,,,
FCV_1_230,2017,2017 Honda Clarity,0,0,1,325000,2.44,1,3,5.17,1,35,0,1,13200,,,,,,,
FCV_1_231,2017,2017 Honda Clarity,0,0,0,75000,2.88,1,4,8.22,2,25,0,2,15000,,,,,,,
FCV_1_232,2017,2017 Honda Clarity,0,0,0,125000,1,1,4,4.82,4,45,0,3,7368,,,,,,,
FCV_1_233,2017,2017 Honda Clarity,0,0,0,225000,2.53,1,4,24.38,4,55,0,3,11760,,,,,,,
FCV_1_234,2017,2017 Honda Clarity,1,1,0,,0.32,1,,31.84,5,55,0,3,20913.6,,,,,,,
FCV_1_235,2017,2017 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_236,2017,2017 Honda Clarity,1,0,1,125000,2.87,1,3,12.97,1,65,0,1,12588,,,,,,,
FCV_1_237,2017,2017 Honda Clarity,0,0,0,225000,1.42,1,2,12.95,4,55,0,3,13845.6,,,,,,,
FCV_1_238,2017,2015 Hyundai Tucson,1,0,1,225000,2.59,1,3,26.23,4,65,0,3,18285.71429,,,,,,,
FCV_1_239,2017,2017 Toyota Mirai,0,0,0,,1.29,0,4,11.19,5,45,0,4,10320,,,,,,,
FCV_1_240,2017,2016 Hyundai Tucson,0,0,0,75000,,1,3,15.81,2,65,0,2,15927.27273,,,,,,,
FCV_1_241,2017,2017 Honda Clarity,0,0,0,125000,2.76,1,3,3.32,1,55,1,1,5616,,,,,,,
FCV_1_242,,2016 Toyota Mirai,,,,,,,,,,,,1,,,,,,,,
FCV_1_243,2017,2015 Hyundai Tucson,0,0,0,325000,0.94,1,4,20.18,2,55,0,2,15376.57143,,,,,,,
FCV_1_244,2017,2017 Toyota Mirai,1,0,1,175000,1.5,0,3,23.41,2,65,0,2,13580,,,,,,,
FCV_1_245,2017,2016 Hyundai Tucson,0,0,0,175000,2.79,1,2,9.65,1,65,0,1,6797,,,,,,,
FCV_1_246,2017,2017 Toyota Mirai,0,0,1,500000,2.92,0,4,9.52,4,55,0,2,12000,,,,,,,
FCV_1_247,2017,2017 Honda Clarity,0,0,0,75000,0.89,1,2,4.52,2,65,0,2,14880,,,,,,,
FCV_1_248,2017,2017 Honda Clarity,1,1,0,125000,1.49,1,3,32.1,4,65,0,4,21600,,,,,,,
FCV_1_249,2017,2016 Hyundai  Tucson,0,0,0,125000,0.89,1,3,22.07,2,55,0,3,14666.66667,,,,,,,
FCV_1_250,2017,2015 Hyundai Tuscon,0,0,0,175000,1.98,1,3,20.13,4,35,0,3,13333.33333,,,,,,,
FCV_1_251,2017,2017 Toyota Mirai,0,0,0,75000,2.78,0,3,14.89,1,35,0,1,20997,,,,,,,
FCV_1_252,,2016 Toyota Mirai,0,0,0,,,,,58.09,5,55,0,5,,,,,,,,
FCV_1_253,2017,2017 Toyota Mirai,1,0,0,225000,2.46,1,4,33.88,6,45,0,3,14000,,,,,,,
FCV_1_254,2017,2017 Hyundai Tucson,1,0,0,500000,2.85,1,3,9.38,4,45,0,1,8907,,,,,,,
FCV_1_255,2017,2017 Honda Clarity,0,0,0,375000,2.78,1,4,27.22,2,65,0,3,17316,,,,,,,
FCV_1_256,,2016 Hyundai  Tucson,1,0,0,,,,,,3,35,1,3,,,,,,,,
FCV_1_258,2017,2017 Toyota Mirai,0,0,1,125000,,1,3,1.26,2,55,1,2,9942.857143,,,,,,,
FCV_1_259,2017,2017 Honda Clarity,0,1,0,125000,2.74,,3,11.81,4,45,0,4,18720,,,,,,,
FCV_1_260,2017,2016 Hyundai Tucson,0,0,0,175000,2.7,0,4,1.82,3,45,1,1,7000,,,,,,,
