year,county,fuel_type,make,model,number_of_vehicles
2015,Glenn,PHEV,BMW,i3 REx,1
2015,Glenn,PHEV,Ford,C-MAX Energi,2
2015,Glenn,PHEV,Toyota,Prius PHEV,1
2015,Humboldt,BEV,BMW,i3,1
2015,Humboldt,BEV,Chevrolet,Spark EV,1
2015,Humboldt,BEV,FIAT,500e,7
2015,Humboldt,BEV,Ford,Focus,3
2015,Humboldt,BEV,Kia,Soul EV,2
2015,Humboldt,BEV,Mercedes-Benz,B-Class,1
2015,Humboldt,BEV,Nissan,Leaf,10
2015,Humboldt,BEV,Smart,Fortwo BEV Drive,3
2015,Humboldt,BEV,Tesla,Model S,5
2015,Humboldt,BEV,Volkswagen,e-Golf,2
2015,Humboldt,PHEV,BMW,i3 REx,3
2015,Humboldt,PHEV,BMW,i8,1
2015,Humboldt,PHEV,Chevrolet,Volt,12
2015,Humboldt,PHEV,Ford,C-MAX Energi,10
2015,Humboldt,PHEV,Ford,Fusion Energi,13
2015,Humboldt,PHEV,Hyundai,Sonata PHEV,1
2015,Humboldt,PHEV,Toyota,Prius PHEV,61
2015,Imperial,BEV,Chevrolet,Spark EV,1
2015,Imperial,BEV,FIAT,500e,1
2015,Imperial,BEV,Tesla,Model S,5
2015,Imperial,BEV,Volkswagen,e-Golf,1
2015,Imperial,PHEV,Chevrolet,Volt,1
2015,Imperial,PHEV,Ford,C-MAX Energi,2
2015,Imperial,PHEV,Ford,Fusion Energi,3
2015,Imperial,PHEV,Toyota,Prius PHEV,1
2015,Inyo,PHEV,Toyota,Prius PHEV,2
2015,Kern,BEV,BMW,i3,4
2015,Kern,BEV,Chevrolet,Spark EV,17
2015,Kern,BEV,FIAT,500e,138
2015,Kern,BEV,Ford,Focus,3
2015,Kern,BEV,Kia,Soul EV,1
2015,Kern,BEV,Mercedes-Benz,B-Class,7
2015,Kern,BEV,Nissan,Leaf,24
2015,Kern,BEV,Smart,Fortwo BEV Drive,3
2015,Kern,BEV,Tesla,Model S,30
2015,Kern,BEV,Volkswagen,e-Golf,4
2015,Kern,PHEV,BMW,i3 REx,8
2015,Kern,PHEV,BMW,i8,3
2015,Kern,PHEV,Chevrolet,Volt,24
2015,Kern,PHEV,Ford,C-MAX Energi,7
2015,Kern,PHEV,Ford,Fusion Energi,20
2015,Kern,PHEV,McLaren,P1,2
2015,Kern,PHEV,Mercedes-Benz,S-Class,2
2015,Kern,PHEV,Porsche,Cayenne,2
2015,Kern,PHEV,Toyota,Prius PHEV,11
2015,Kings,BEV,FIAT,500e,1
2015,Kings,BEV,Nissan,Leaf,2
2015,Kings,BEV,Tesla,Model S,3
2015,Kings,PHEV,BMW,i3 REx,1
2015,Kings,PHEV,Chevrolet,Volt,5
2015,Kings,PHEV,Ford,Fusion Energi,4
2015,Kings,PHEV,Toyota,Prius PHEV,4
2015,Lake,BEV,Chevrolet,Spark EV,1
2015,Lake,BEV,FIAT,500e,8
2015,Lake,BEV,Tesla,Model S,2
2015,Lake,BEV,Volkswagen,e-Golf,1
2015,Lake,PHEV,BMW,i3 REx,1
2015,Lake,PHEV,Chevrolet,Volt,2
2015,Lake,PHEV,Ford,C-MAX Energi,2
2015,Lake,PHEV,Ford,Fusion Energi,1
2015,Lake,PHEV,Honda,Accord PHEV,2
2015,Lake,PHEV,Toyota,Prius PHEV,7
2015,Lassen,PHEV,Chevrolet,Volt,2
2015,Lassen,PHEV,Toyota,Prius PHEV,1
2015,Los Angeles,BEV,BMW,i3,451
2015,Los Angeles,BEV,Chevrolet,Spark EV,390
2015,Los Angeles,BEV,FIAT,500e,2932
2015,Los Angeles,BEV,Ford,Focus,155
2015,Los Angeles,BEV,Honda,Fit EV,8
2015,Los Angeles,BEV,Kia,Soul EV,190
2015,Los Angeles,BEV,Mercedes-Benz,B-Class,449
2015,Los Angeles,BEV,Mitsubishi,i-MiEV,7
2015,Los Angeles,BEV,Nissan,Leaf,685
2015,Los Angeles,BEV,Smart,Fortwo BEV Drive,168
2015,Los Angeles,BEV,Tesla,Model S,3196
2015,Los Angeles,BEV,Tesla,Model X,1
2015,Los Angeles,BEV,Toyota,RAV4 EV,18
2015,Los Angeles,BEV,Volkswagen,e-Golf,644
2015,Los Angeles,PHEV,BMW,i3 REx,1436
2015,Los Angeles,PHEV,BMW,i8,171
2015,Los Angeles,PHEV,BMW,X5,33
2015,Los Angeles,PHEV,Cadillac,ELR,44
2015,Los Angeles,PHEV,Chevrolet,Volt,2359
2015,Los Angeles,PHEV,Fisker,Karma,2
2015,Los Angeles,PHEV,Ford,C-MAX Energi,784
2015,Los Angeles,PHEV,Ford,Fusion Energi,1166
2015,Los Angeles,PHEV,Honda,Accord PHEV,23
2015,Los Angeles,PHEV,Hyundai,Sonata PHEV,10
2015,Los Angeles,PHEV,McLaren,P1,3
2015,Los Angeles,PHEV,Mercedes-Benz,S-Class,28
2015,Los Angeles,PHEV,Porsche,918 Spyder,9
2015,Los Angeles,PHEV,Porsche,Cayenne,99
2015,Los Angeles,PHEV,Porsche,Panamera,39
2015,Los Angeles,PHEV,Toyota,Prius PHEV,1328
2015,Los Angeles,FCEV,Hyundai,Tucson Fuel Cell,21
2015,Los Angeles,FCEV,Toyota,Mirai,43
2015,Madera,BEV,Chevrolet,Spark EV,16
2015,Madera,BEV,FIAT,500e,12
2015,Madera,BEV,Ford,Focus,1
2015,Madera,BEV,Kia,Soul EV,2
2015,Madera,BEV,Nissan,Leaf,6
2015,Madera,BEV,Tesla,Model S,3
2015,Madera,BEV,Volkswagen,e-Golf,1
2015,Madera,PHEV,Chevrolet,Volt,5
2015,Madera,PHEV,Ford,C-MAX Energi,2
2015,Madera,PHEV,Ford,Fusion Energi,3
2015,Madera,PHEV,Toyota,Prius PHEV,2
2015,Marin,BEV,BMW,i3,30
2015,Marin,BEV,Chevrolet,Spark EV,25
2015,Marin,BEV,FIAT,500e,212
2015,Marin,BEV,Ford,Focus,14
2015,Marin,BEV,Kia,Soul EV,10
2015,Marin,BEV,Mercedes-Benz,B-Class,24
2015,Marin,BEV,Mitsubishi,i-MiEV,3
2015,Marin,BEV,Nissan,Leaf,68
2015,Marin,BEV,Smart,Fortwo BEV Drive,10
2015,Marin,BEV,Tesla,Model S,280
2015,Marin,BEV,Toyota,RAV4 EV,1
2015,Marin,BEV,Volkswagen,e-Golf,82
2015,Marin,PHEV,BMW,i3 REx,70
2015,Marin,PHEV,BMW,i8,7
2015,Marin,PHEV,BMW,X5,1
2015,Marin,PHEV,Chevrolet,Volt,79
2015,Marin,PHEV,Ford,C-MAX Energi,69
2015,Marin,PHEV,Ford,Fusion Energi,59
2015,Marin,PHEV,Honda,Accord PHEV,1
2015,Marin,PHEV,Porsche,Cayenne,5
2015,Marin,PHEV,Toyota,Prius PHEV,55
2015,Mariposa,BEV,Chevrolet,Spark EV,1
2015,Mariposa,BEV,Tesla,Model S,2
2015,Mariposa,PHEV,Chevrolet,Volt,1
2015,Mendocino,BEV,Chevrolet,Spark EV,3
2015,Mendocino,BEV,FIAT,500e,3
2015,Mendocino,BEV,Mercedes-Benz,B-Class,1
2015,Mendocino,BEV,Nissan,Leaf,10
2015,Mendocino,BEV,Smart,Fortwo BEV Drive,2
2015,Mendocino,BEV,Tesla,Model S,15
2015,Mendocino,BEV,Volkswagen,e-Golf,2
2015,Mendocino,PHEV,BMW,i3 REx,3
2015,Mendocino,PHEV,Chevrolet,Volt,16
2015,Mendocino,PHEV,Ford,C-MAX Energi,14
2015,Mendocino,PHEV,Ford,Fusion Energi,13
2015,Mendocino,PHEV,Toyota,Prius PHEV,14
2015,Merced,BEV,BMW,i3,1
2015,Merced,BEV,Chevrolet,Spark EV,8
2015,Merced,BEV,FIAT,500e,4
2015,Merced,BEV,Kia,Soul EV,1
2015,Merced,BEV,Nissan,Leaf,6
2015,Merced,BEV,Tesla,Model S,5
2015,Merced,BEV,Volkswagen,e-Golf,1
2015,Merced,PHEV,BMW,i3 REx,1
2015,Merced,PHEV,Chevrolet,Volt,10
2015,Merced,PHEV,Ford,C-MAX Energi,5
2015,Merced,PHEV,Ford,Fusion Energi,2
2015,Merced,PHEV,Toyota,Prius PHEV,3
2015,Mono,BEV,Tesla,Model S,2
2015,Mono,PHEV,Toyota,Prius PHEV,1
2015,Monterey,BEV,BMW,i3,2
2015,Monterey,BEV,Chevrolet,Spark EV,7
2015,Monterey,BEV,FIAT,500e,44
2015,Monterey,BEV,Ford,Focus,9
2015,Monterey,BEV,Kia,Soul EV,6
2015,Monterey,BEV,Mercedes-Benz,B-Class,3
2015,Monterey,BEV,Nissan,Leaf,25
2015,Monterey,BEV,Smart,Fortwo BEV Drive,2
2015,Monterey,BEV,Tesla,Model S,59
2015,Monterey,BEV,Volkswagen,e-Golf,2
2015,Monterey,PHEV,BMW,i3 REx,17
2015,Monterey,PHEV,BMW,i8,4
2015,Monterey,PHEV,BMW,X5,4
2015,Monterey,PHEV,Cadillac,ELR,1
2015,Monterey,PHEV,Chevrolet,Volt,34
2015,Monterey,PHEV,Ford,C-MAX Energi,20
2015,Monterey,PHEV,Ford,Fusion Energi,16
2015,Monterey,PHEV,Porsche,Cayenne,2
2015,Monterey,PHEV,Porsche,Panamera,1
2015,Monterey,PHEV,Toyota,Prius PHEV,16
2015,Napa,BEV,BMW,i3,5
2015,Napa,BEV,Chevrolet,Spark EV,7
2015,Napa,BEV,FIAT,500e,24
2015,Napa,BEV,Ford,Focus,6
2015,Napa,BEV,Kia,Soul EV,1
2015,Napa,BEV,Mercedes-Benz,B-Class,3
2015,Napa,BEV,Nissan,Leaf,15
2015,Napa,BEV,Tesla,Model S,73
2015,Napa,BEV,Volkswagen,e-Golf,3
2015,Napa,PHEV,BMW,i3 REx,10
2015,Napa,PHEV,BMW,i8,1
2015,Napa,PHEV,BMW,X5,2
2015,Napa,PHEV,Cadillac,ELR,2
2015,Napa,PHEV,Chevrolet,Volt,22
2015,Napa,PHEV,Ford,C-MAX Energi,9
2015,Napa,PHEV,Ford,Fusion Energi,16
2015,Napa,PHEV,Mercedes-Benz,S-Class,1
2015,Napa,PHEV,Porsche,Cayenne,2
2015,Napa,PHEV,Toyota,Prius PHEV,18
2015,Nevada,BEV,BMW,i3,1
2015,Nevada,BEV,Chevrolet,Spark EV,2
2015,Nevada,BEV,FIAT,500e,4
2015,Nevada,BEV,Nissan,Leaf,8
2015,Nevada,BEV,Tesla,Model S,32
2015,Nevada,BEV,Volkswagen,e-Golf,4
2015,Nevada,PHEV,Chevrolet,Volt,8
2015,Nevada,PHEV,Ford,C-MAX Energi,7
2015,Nevada,PHEV,Ford,Fusion Energi,5
2015,Nevada,PHEV,Honda,Accord PHEV,2
2015,Nevada,PHEV,Toyota,Prius PHEV,6
2015,Orange,BEV,BMW,i3,124
2015,Orange,BEV,Chevrolet,Spark EV,162
2015,Orange,BEV,FIAT,500e,983
2015,Orange,BEV,Ford,Focus,88
2015,Orange,BEV,Kia,Soul EV,95
2015,Orange,BEV,Mercedes-Benz,B-Class,260
2015,Orange,BEV,Mitsubishi,i-MiEV,7
2015,Orange,BEV,Nissan,Leaf,336
2015,Orange,BEV,Smart,Fortwo BEV Drive,69
2015,Orange,BEV,Tesla,Model S,1549
2015,Orange,BEV,Toyota,RAV4 EV,6
2015,Orange,BEV,Volkswagen,e-Golf,190
2015,Orange,PHEV,BMW,i3 REx,396
2015,Orange,PHEV,BMW,i8,80
2015,Orange,PHEV,BMW,X5,7
2015,Orange,PHEV,Cadillac,ELR,34
2015,Orange,PHEV,Chevrolet,Volt,915
2015,Orange,PHEV,Fisker,Karma,4
2015,Orange,PHEV,Ford,C-MAX Energi,456
2015,Orange,PHEV,Ford,Fusion Energi,750
2015,Orange,PHEV,Honda,Accord PHEV,16
2015,Orange,PHEV,Hyundai,Sonata PHEV,12
2015,Orange,PHEV,McLaren,P1,3
2015,Orange,PHEV,Mercedes-Benz,S-Class,18
2015,Orange,PHEV,Porsche,918 Spyder,17
2015,Orange,PHEV,Porsche,Cayenne,33
2015,Orange,PHEV,Porsche,Panamera,11
2015,Orange,PHEV,Toyota,Prius PHEV,682
2015,Orange,FCEV,Honda,FCX Clarity,2
2015,Orange,FCEV,Hyundai,Tucson Fuel Cell,14
2015,Orange,FCEV,Toyota,Mirai,10
2015,Placer,BEV,BMW,i3,2
2015,Placer,BEV,Chevrolet,Spark EV,34
2015,Placer,BEV,FIAT,500e,61
2015,Placer,BEV,Ford,Focus,14
2015,Placer,BEV,Kia,Soul EV,2
2015,Placer,BEV,Mercedes-Benz,B-Class,4
2015,Placer,BEV,Nissan,Leaf,49
2015,Placer,BEV,Smart,Fortwo BEV Drive,7
2015,Placer,BEV,Tesla,Model S,99
2015,Placer,BEV,Tesla,Model X,1
2015,Placer,BEV,Toyota,RAV4 EV,2
2015,Placer,BEV,Volkswagen,e-Golf,11
2015,Placer,PHEV,BMW,i3 REx,23
2015,Placer,PHEV,BMW,i8,1
2015,Placer,PHEV,Cadillac,ELR,2
2015,Placer,PHEV,Chevrolet,Volt,66
2015,Placer,PHEV,Ford,C-MAX Energi,15
2015,Placer,PHEV,Ford,Fusion Energi,38
2015,Placer,PHEV,Honda,Accord PHEV,1
2015,Placer,PHEV,Porsche,Cayenne,1
2015,Placer,PHEV,Porsche,Panamera,1
2015,Placer,PHEV,Toyota,Prius PHEV,22
2015,Plumas,PHEV,Ford,Fusion Energi,1
2015,Riverside,BEV,BMW,i3,17
2015,Riverside,BEV,Chevrolet,Spark EV,42
2015,Riverside,BEV,FIAT,500e,187
2015,Riverside,BEV,Ford,Focus,13
2015,Riverside,BEV,Kia,Soul EV,15
2015,Riverside,BEV,Mercedes-Benz,B-Class,16
2015,Riverside,BEV,Mitsubishi,i-MiEV,1
2015,Riverside,BEV,Nissan,Leaf,85
2015,Riverside,BEV,Smart,Fortwo BEV Drive,13
2015,Riverside,BEV,Tesla,Model S,259
2015,Riverside,BEV,Toyota,RAV4 EV,2
2015,Riverside,BEV,Volkswagen,e-Golf,40
2015,Riverside,PHEV,BMW,i3 REx,82
2015,Riverside,PHEV,BMW,i8,14
2015,Riverside,PHEV,BMW,X5,3
2015,Riverside,PHEV,Cadillac,ELR,5
2015,Riverside,PHEV,Chevrolet,Volt,230
2015,Riverside,PHEV,Ford,C-MAX Energi,148
2015,Riverside,PHEV,Ford,Fusion Energi,274
2015,Riverside,PHEV,Honda,Accord PHEV,5
2015,Riverside,PHEV,Hyundai,Sonata PHEV,1
2015,Riverside,PHEV,Mercedes-Benz,S-Class,4
2015,Riverside,PHEV,Porsche,Cayenne,4
2015,Riverside,PHEV,Porsche,Panamera,1
2015,Riverside,PHEV,Toyota,Prius PHEV,147
2015,Sacramento,BEV,BMW,i3,10
2015,Sacramento,BEV,Chevrolet,Spark EV,80
2015,Sacramento,BEV,FIAT,500e,135
2015,Sacramento,BEV,Ford,Focus,48
2015,Sacramento,BEV,Honda,Fit EV,1
2015,Sacramento,BEV,Kia,Soul EV,16
2015,Sacramento,BEV,Mercedes-Benz,B-Class,10
2015,Sacramento,BEV,Nissan,Leaf,174
2015,Sacramento,BEV,Smart,Fortwo BEV Drive,9
2015,Sacramento,BEV,Tesla,Model S,143
2015,Sacramento,BEV,Toyota,RAV4 EV,5
2015,Sacramento,BEV,Volkswagen,e-Golf,32
2015,Sacramento,PHEV,BMW,i3 REx,38
2015,Sacramento,PHEV,BMW,i8,4
2015,Sacramento,PHEV,Cadillac,ELR,4
2015,Sacramento,PHEV,Chevrolet,Volt,108
2015,Sacramento,PHEV,Ford,C-MAX Energi,88
2015,Sacramento,PHEV,Ford,Fusion Energi,93
2015,Sacramento,PHEV,Mercedes-Benz,S-Class,2
2015,Sacramento,PHEV,Porsche,918 Spyder,1
2015,Sacramento,PHEV,Porsche,Cayenne,1
2015,Sacramento,PHEV,Porsche,Panamera,1
2015,Sacramento,PHEV,Toyota,Prius PHEV,78
2015,San Benito,BEV,Chevrolet,Spark EV,1
2015,San Benito,BEV,FIAT,500e,3
2015,San Benito,BEV,Ford,Focus,1
2015,San Benito,BEV,Tesla,Model S,3
2015,San Benito,BEV,Volkswagen,e-Golf,2
2015,San Benito,PHEV,Chevrolet,Volt,10
2015,San Benito,PHEV,Ford,C-MAX Energi,6
2015,San Benito,PHEV,Ford,Fusion Energi,14
2015,San Benito,PHEV,Toyota,Prius PHEV,6
2015,San Bernardino,BEV,BMW,i3,15
2015,San Bernardino,BEV,Chevrolet,Spark EV,36
2015,San Bernardino,BEV,FIAT,500e,172
2015,San Bernardino,BEV,Ford,Focus,19
2015,San Bernardino,BEV,Honda,Fit EV,1
2015,San Bernardino,BEV,Kia,Soul EV,8
2015,San Bernardino,BEV,Mercedes-Benz,B-Class,30
2015,San Bernardino,BEV,Nissan,Leaf,65
2015,San Bernardino,BEV,Smart,Fortwo BEV Drive,19
2015,San Bernardino,BEV,Tesla,Model S,138
2015,San Bernardino,BEV,Volkswagen,e-Golf,27
2015,San Bernardino,PHEV,BMW,i3 REx,56
2015,San Bernardino,PHEV,BMW,i8,14
2015,San Bernardino,PHEV,BMW,X5,2
2015,San Bernardino,PHEV,Cadillac,ELR,11
2015,San Bernardino,PHEV,Chevrolet,Volt,186
2015,San Bernardino,PHEV,Ford,C-MAX Energi,111
2015,San Bernardino,PHEV,Ford,Fusion Energi,207
2015,San Bernardino,PHEV,Honda,Accord PHEV,3
2015,San Bernardino,PHEV,Mercedes-Benz,S-Class,5
2015,San Bernardino,PHEV,Porsche,Cayenne,1
2015,San Bernardino,PHEV,Toyota,Prius PHEV,137
2015,San Bernardino,FCEV,Toyota,Mirai,2
2015,San Diego,BEV,BMW,i3,99
2015,San Diego,BEV,Chevrolet,Spark EV,169
2015,San Diego,BEV,FIAT,500e,759
2015,San Diego,BEV,Ford,Focus,76
2015,San Diego,BEV,Honda,Fit EV,2
2015,San Diego,BEV,Kia,Soul EV,69
2015,San Diego,BEV,Mercedes-Benz,B-Class,100
2015,San Diego,BEV,Mitsubishi,i-MiEV,2
2015,San Diego,BEV,Nissan,Leaf,359
2015,San Diego,BEV,Smart,Fortwo BEV Drive,504
2015,San Diego,BEV,Tesla,Model S,851
2015,San Diego,BEV,Toyota,RAV4 EV,5
2015,San Diego,BEV,Volkswagen,e-Golf,165
2015,San Diego,PHEV,BMW,i3 REx,212
2015,San Diego,PHEV,BMW,i8,44
2015,San Diego,PHEV,BMW,X5,11
2015,San Diego,PHEV,Cadillac,ELR,16
2015,San Diego,PHEV,Chevrolet,Volt,508
2015,San Diego,PHEV,Fisker,Karma,3
2015,San Diego,PHEV,Ford,C-MAX Energi,277
2015,San Diego,PHEV,Ford,Fusion Energi,315
2015,San Diego,PHEV,Honda,Accord PHEV,31
2015,San Diego,PHEV,Hyundai,Sonata PHEV,3
2015,San Diego,PHEV,Mercedes-Benz,S-Class,3
2015,San Diego,PHEV,Porsche,918 Spyder,2
2015,San Diego,PHEV,Porsche,Cayenne,22
2015,San Diego,PHEV,Porsche,Panamera,15
2015,San Diego,PHEV,Toyota,Prius PHEV,202
2015,San Francisco,BEV,BMW,i3,52
2015,San Francisco,BEV,Chevrolet,Spark EV,26
2015,San Francisco,BEV,FIAT,500e,308
2015,San Francisco,BEV,Ford,Focus,20
2015,San Francisco,BEV,Honda,Fit EV,1
2015,San Francisco,BEV,Kia,Soul EV,12
2015,San Francisco,BEV,Mercedes-Benz,B-Class,41
2015,San Francisco,BEV,Mitsubishi,i-MiEV,1
2015,San Francisco,BEV,Nissan,Leaf,108
2015,San Francisco,BEV,Smart,Fortwo BEV Drive,64
2015,San Francisco,BEV,Tesla,Model S,329
2015,San Francisco,BEV,Toyota,RAV4 EV,1
2015,San Francisco,BEV,Volkswagen,e-Golf,115
2015,San Francisco,PHEV,BMW,i3 REx,231
2015,San Francisco,PHEV,BMW,i8,8
2015,San Francisco,PHEV,BMW,X5,3
2015,San Francisco,PHEV,Cadillac,ELR,1
2015,San Francisco,PHEV,Chevrolet,Volt,114
2015,San Francisco,PHEV,Fisker,Karma,1
2015,San Francisco,PHEV,Ford,C-MAX Energi,99
2015,San Francisco,PHEV,Ford,Fusion Energi,51
2015,San Francisco,PHEV,Mercedes-Benz,S-Class,2
2015,San Francisco,PHEV,Porsche,918 Spyder,1
2015,San Francisco,PHEV,Porsche,Cayenne,12
2015,San Francisco,PHEV,Toyota,Prius PHEV,108
2015,San Francisco,FCEV,Toyota,Mirai,2
2015,San Joaquin,BEV,BMW,i3,1
2015,San Joaquin,BEV,Chevrolet,Spark EV,28
2015,San Joaquin,BEV,FIAT,500e,30
2015,San Joaquin,BEV,Ford,Focus,11
2015,San Joaquin,BEV,Ford,Transit Connect BEV,1
2015,San Joaquin,BEV,Kia,Soul EV,7
2015,San Joaquin,BEV,Mercedes-Benz,B-Class,11
2015,San Joaquin,BEV,Nissan,Leaf,69
2015,San Joaquin,BEV,Smart,Fortwo BEV Drive,4
2015,San Joaquin,BEV,Tesla,Model S,44
2015,San Joaquin,BEV,Toyota,RAV4 EV,1
2015,San Joaquin,BEV,Volkswagen,e-Golf,5
2015,San Joaquin,PHEV,BMW,i3 REx,7
2015,San Joaquin,PHEV,BMW,i8,1
2015,San Joaquin,PHEV,Cadillac,ELR,3
2015,San Joaquin,PHEV,Chevrolet,Volt,49
2015,San Joaquin,PHEV,Ford,C-MAX Energi,21
2015,San Joaquin,PHEV,Ford,Fusion Energi,33
