county,year,population,percent_change,number_change
Sacramento ,2022,1585055,0.99,1565396
San Benito,2015,2313162,0.94,21514
San Benito,2016,2337698,1.06,24536
San Benito,2017,2361995,1.04,24297
San Benito,2018,2383773,0.92,21778
San Benito,2019,2400535,0.7,16762
San Benito,2020,2421480,0.87,20945
San Benito,2021,2431647,0.42,10167
San Benito ,2022,64209,-36.87,-2367438
San Bernardino,2015,1502821,1.2,17815
San Bernardino,2016,1520401,1.17,17580
San Bernardino,2017,1536517,1.06,16116
San Bernardino,2018,1554668,1.18,18151
San Bernardino,2019,1570918,1.05,16250
San Bernardino,2020,1585666,0.94,14748
San Bernardino,2021,1586031,0.02,365
San Bernardino ,2022,2181654,0.27,595623
San Diego,2015,59220,1.2,705
San Diego,2016,60087,1.46,867
San Diego,2017,60733,1.08,646
San Diego,2018,61848,1.84,1115
San Diego,2019,63282,2.32,1434
San Diego,2020,64110,1.31,828
San Diego,2021,64924,1.27,814
San Diego ,2022,3298634,0.98,3233710
San Francisco,2015,2119575,0.72,15078
San Francisco,2016,2132121,0.59,12546
San Francisco,2017,2147291,0.71,15170
San Francisco,2018,2160036,0.59,12745
San Francisco,2019,2174437,0.67,14401
San Francisco,2020,2181983,0.35,7546
San Francisco,2021,2181258,-0.03,-725
San Francisco ,2022,873965,-1.5,-1307293
San Joaquin,2015,3248371,0.62,19883
San Joaquin,2016,3263517,0.47,15146
San Joaquin,2017,3276113,0.39,12596
San Joaquin,2018,3293350,0.53,17237
San Joaquin,2019,3294272,0.03,922
San Joaquin,2020,3303736,0.29,9464
San Joaquin,2021,3288455,-0.46,-15281
San Joaquin ,2022,779233,-3.22,-2509222
San Luis Obispo,2015,857037,1.01,8563
San Luis Obispo,2016,863546,0.76,6509
San Luis Obispo,2017,868879,0.62,5333
San Luis Obispo,2018,872338,0.4,3459
San Luis Obispo,2019,872205,-0.02,-133
San Luis Obispo,2020,870985,-0.14,-1220
San Luis Obispo,2021,855550,-1.77,-15435
San Luis Obispo ,2022,282424,-2.03,-573126
San Mateo,2015,729411,1.52,10913
San Mateo,2016,739814,1.43,10403
San Mateo,2017,750306,1.42,10492
San Mateo,2018,759753,1.26,9447
San Mateo,2019,771083,1.49,11330
San Mateo,2020,780676,1.24,9593
San Mateo,2021,786700,0.77,6024
San Mateo ,2022,764442,-0.03,-22258
Santa Barbara,2015,279800,0.33,913
Santa Barbara,2016,281681,0.67,1881
Santa Barbara,2017,282103,0.15,422
Santa Barbara,2018,282952,0.3,849
Santa Barbara,2019,282617,-0.12,-335
Santa Barbara,2020,282996,0.13,379
Santa Barbara,2021,278607,-1.55,-4389
Santa Barbara ,2022,448229,0.38,169622
Santa Clara,2015,761484,0.86,6468
Santa Clara,2016,764070,0.34,2586
Santa Clara,2017,765601,0.2,1531
Santa Clara,2018,766711,0.14,1110
Santa Clara,2019,766312,-0.05,-399
Santa Clara,2020,763497,-0.37,-2815
Santa Clara,2021,756655,-0.9,-6842
Santa Clara ,2022,1936259,0.61,1179604
Santa Cruz,2015,442188,0.86,3767
Santa Cruz,2016,444277,0.47,2089
Santa Cruz,2017,445801,0.34,1524
Santa Cruz,2018,447666,0.42,1865
Santa Cruz,2019,448815,0.26,1149
Santa Cruz,2020,448659,-0.03,-156
Santa Cruz,2021,443121,-1.23,-5538
Santa Cruz ,2022,270861,-0.64,-172260
Shasta,2015,1914457,1.22,23129
Shasta,2016,1925914,0.6,11457
Shasta,2017,1932947,0.37,7033
Shasta,2018,1937985,0.26,5038
Shasta,2019,1936521,-0.08,-1464
Shasta,2020,1933516,-0.16,-3005
Shasta,2021,1913113,-1.06,-20403
Shasta ,2022,182155,-9.5,-1730958
Sierra,2015,274762,0.87,2376
Sierra,2016,275452,0.25,690
Sierra,2017,274739,-0.26,-713
Sierra,2018,273527,-0.44,-1212
Sierra,2019,272182,-0.49,-1345
Sierra,2020,272360,0.07,178
Sierra,2021,267551,-1.77,-4809
Sierra ,2022,3236,-81.68,-264315
Siskiyou,2015,180812,-0.13,-242
Siskiyou,2016,180287,-0.29,-525
Siskiyou,2017,181095,0.45,808
Siskiyou,2018,181472,0.21,377
Siskiyou,2019,181387,-0.05,-85
Siskiyou,2020,181881,0.27,494
Siskiyou,2021,182072,0.11,191
Siskiyou ,2022,44076,-3.13,-137996
Solano,2015,3213,-0.22,-7
Solano,2016,3220,0.22,7
Solano,2017,3233,0.4,13
Solano,2018,3232,-0.03,-1
Solano,2019,3233,0.03,1
Solano,2020,3233,0.0,0
Solano,2021,3217,-0.49,-16
Solano ,2022,453491,0.99,450274
Sonoma,2015,44655,-0.33,-146
Sonoma,2016,44554,-0.23,-101
Sonoma,2017,44390,-0.37,-164
Sonoma,2018,44305,-0.19,-85
Sonoma,2019,44193,-0.25,-112
Sonoma,2020,44091,-0.23,-102
Sonoma,2021,43790,-0.68,-301
Sonoma ,2022,488863,0.91,445073
Stanislaus,2015,435902,1.1,4749
Stanislaus,2016,441224,1.22,5322
Stanislaus,2017,445721,1.02,4497
Stanislaus,2018,449091,0.76,3370
Stanislaus,2019,451701,0.58,2610
Stanislaus,2020,453405,0.38,1704
Stanislaus,2021,452532,-0.19,-873
Stanislaus ,2022,552878,0.18,100346
Sutter,2015,500553,0.48,2402
Sutter,2016,501989,0.29,1436
Sutter,2017,501111,-0.17,-878
Sutter,2018,496869,-0.85,-4242
Sutter,2019,492668,-0.85,-4201
Sutter,2020,489880,-0.57,-2788
Sutter,2021,485110,-0.97,-4770
Sutter ,2022,99633,-3.87,-385477
Tehama,2015,535436,0.96,5104
Tehama,2016,540856,1.01,5420
Tehama,2017,546499,1.04,5643
Tehama,2018,549544,0.56,3045
Tehama,2019,551566,0.37,2022
Tehama,2020,553995,0.44,2429
Tehama,2021,553138,-0.15,-857
Tehama ,2022,65829,-7.4,-487309
Trinity,2015,95844,0.66,627
Trinity,2016,96517,0.7,673
Trinity,2017,97771,1.3,1254
Trinity,2018,99334,1.6,1563
Trinity,2019,101046,1.72,1712
Trinity,2020,100751,-0.29,-295
Trinity,2021,101478,0.72,727
Trinity ,2022,16112,-5.3,-85366
Tulare,2015,63509,0.55,348
Tulare,2016,63999,0.77,490
Tulare,2017,64141,0.22,142
Tulare,2018,64568,0.67,427
Tulare,2019,65312,1.15,744
Tulare,2020,65643,0.51,331
Tulare,2021,65873,0.35,230
Tulare ,2022,473117,0.86,407244
Tuolumne,2015,14228,0.54,77
Tuolumne,2016,14840,4.3,612
Tuolumne,2017,15498,4.43,658
Tuolumne,2018,15754,1.65,256
Tuolumne,2019,16054,1.9,300
Tuolumne,2020,16135,0.5,81
Tuolumne,2021,16047,-0.55,-88
Tuolumne ,2022,55620,0.71,39573
Ventura,2015,459935,0.74,3377
Ventura,2016,462223,0.5,2288
Ventura,2017,465343,0.67,3120
Ventura,2018,467656,0.5,2313
Ventura,2019,470619,0.63,2963
Ventura,2020,473482,0.61,2863
Ventura,2021,474998,0.32,1516
Ventura ,2022,843843,0.44,368845
Yolo,2015,55104,0.02,9
Yolo,2016,55162,0.11,58
Yolo,2017,55032,-0.24,-130
Yolo,2018,55311,0.51,279
Yolo,2019,55316,0.01,5
Yolo,2020,55500,0.33,184
Yolo,2021,54811,-1.24,-689
Yolo ,2022,216403,0.75,161592
Yuba,2015,75748,1.16,871
Yuba,2016,76782,1.37,1034
Yuba,2017,78181,1.82,1399
Yuba,2018,79043,1.1,862
Yuba,2019,80250,1.53,1207
Yuba,2020,81468,1.52,1218
Yuba,2021,82091,0.76,623
Yuba ,2022,81575,-0.01,-516
