year,car_main,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
2015,2013 Fiat 500e,1,50000,2.57,0,3,3.54,35,0,2,7500.0
2017,2017 Tesla Model X,1,125000,1.54,1,4,12.49,75,0,2,9320.0
2016,2016 Chevrolet Volt,1,175000,2.59,1,4,20.98,45,0,2,16000.0
2016,2015 Nissan Leaf,1,175000,2.59,0,3,12.5,35,1,2,8000.0
2017,2016 Nissan Leaf,1,225000,2.74,1,3,13.66,55,1,2,4285.714286
2015,2014 Fiat 500e,1,375000,2.64,1,4,32.54,45,0,3,7200.0
2016,2015 Ford C-Max Energi,1,75000,2.74,0,3,22.71,45,1,1,20119.05882
2015,2013 Toyota Prius Plug-in,1,175000,1.67,1,3,1.17,35,0,2,10912.8
2017,2017 Toyota Prius Prime,1,125000,2.7,1,4,3.57,65,0,2,4874.4
2017,2016 Nissan Leaf,1,125000,0.0,0,3,28.92,35,1,2,14680.36364
2015,2014 BMW i3,1,125000,0.29,1,3,8.56,75,0,2,2827.2
2016,2015 BMW i3,1,225000,1.43,0,3,5.93,35,0,2,7200.0
2016,2016 BMW i3,1,50000,2.74,1,4,1.07,55,1,1,-39456.0
2016,2016 Ford Fusion Energi,1,175000,-3.0,1,3,32.31,45,0,2,15000.0
2015,2014 Tesla Model S,1,375000,2.67,1,4,50.29,18,1,2,22800.0
2015,2012 Chevrolet Volt,1,325000,2.46,1,3,42.13,55,0,2,25991.63636
2017,2017 Hyundai Sonata Plug-in Hybrid,1,275000,-2.86,0,4,5.74,45,0,3,6768.0
2015,2013 Nissan Leaf,1,125000,2.89,0,2,20.03,65,0,3,9734.571429
2017,2017 Chevrolet Volt,1,475000,2.36,0,4,18.71,45,0,3,14580.0
2017,2016 Ford C-Max Energi,1,75000,2.61,1,4,4.15,45,1,1,3000.0
2016,2015 Nissan Leaf,1,125000,-1.99,1,3,17.24,55,0,3,7930.434783
2016,2014 BMW i3,1,125000,2.7,1,4,7.76,45,1,5,9468.0
2015,2014 Tesla Model S,1,225000,2.62,1,4,8.04,45,0,4,8000.0
2015,2014 Toyota Prius Plug-in,1,125000,2.56,1,3,2.68,35,0,2,7636.363636
2017,2017 Chevrolet Bolt EV,1,125000,2.81,1,3,10.68,75,0,1,12240.0
2017,2016 Volkswagen e-Golf,1,75000,2.77,1,4,17.7,55,0,3,7050.0
2015,2014 Chevrolet Volt,1,175000,0.0,0,3,6.73,45,0,2,15428.57143
2015,2013 Nissan Leaf,1,425000,2.75,1,4,0.98,65,0,3,4260.0
2015,2014 Toyota Prius Plug-in,1,75000,2.71,0,3,35.08,55,1,1,13600.0
2017,2017 Chevrolet Bolt EV,1,75000,1.1,0,3,0.29,45,0,1,9600.0
2015,2013 Chevrolet Volt,1,125000,2.76,1,2,2.36,65,0,2,12000.0
2017,2017 Toyota Prius Prime,1,125000,2.94,1,4,24.66,65,0,1,19800.0
2016,2013 Nissan Leaf,1,225000,2.5,0,4,11.23,35,0,2,7272.727273
2015,2012 Toyota Prius Plug-in,1,500000,2.36,1,3,26.28,35,0,2,12654.62069
2017,2016 Tesla Model X,1,500000,2.95,1,3,12.87,45,1,2,15200.0
2016,2016 Ford Fusion Energi,1,175000,2.59,1,4,15.23,45,0,2,10800.0
2015,2013 Toyota RAV4 EV,1,275000,1.87,1,3,12.26,55,1,2,15457.71429
2016,2016 Ford C-Max Energi,1,225000,0.51,1,3,1.6,45,1,2,7466.666667
2015,2014 Nissan Leaf,1,500000,0.0,1,4,23.85,45,0,3,13153.84615
2015,2014 Ford Fusion Energi,1,275000,2.83,1,4,4.11,65,0,5,7984.615385
2017,2016 Toyota Mirai,1,175000,1.9,1,3,24.66,45,1,3,16860.0
2015,2013 Chevrolet Volt,1,175000,1.24,1,3,16.96,55,0,5,11111.11111
2017,2016 Volkswagen e-Golf,1,125000,2.82,1,2,30.2,55,0,4,5552.0
2017,2016 FIAT 500e,1,75000,0.97,0,3,24.6,45,0,2,9275.076923
2016,2015 Tesla Model S,1,425000,1.25,1,3,7.06,55,0,3,7434.857143
2017,2017 Chrysler Pacifica Hybrid,1,125000,1.53,1,3,1.81,35,0,3,6264.0
2017,2016 Volkswagen e-Golf,1,175000,1.79,1,4,13.75,45,0,2,8035.636364
2016,2015 Nissan Leaf,1,75000,2.76,0,3,15.9,55,0,2,6831.529412
2015,2014 Toyota Prius Plug-in,1,225000,2.87,1,4,2.08,65,1,1,3525.0
2017,2017 Toyota Mirai,1,175000,0.39,1,3,43.23,55,0,4,8970.0
2015,2014 BMW i3,1,325000,0.0,1,4,3.89,55,0,4,11173.0
2017,2017 Chevrolet Volt,1,125000,0.0,1,4,12.71,35,0,2,12000.0
2017,2017 Toyota Prius Prime,1,175000,-0.01,1,3,14.7,55,0,2,10650.0
2015,2014 Ford Focus Electric,1,75000,1.93,1,3,6.39,45,1,2,6480.0
2017,2017 BMW i3,1,125000,2.78,1,3,22.51,65,1,2,11260.0
2017,2017 Ford C-Max Energi,1,175000,0.64,1,4,49.73,55,1,5,40536.0
2015,2013 Ford Fusion Energi,1,225000,1.19,1,4,17.19,55,1,2,10742.85714
2017,2017 Chevrolet Bolt EV,1,75000,2.67,1,3,6.88,55,0,1,12513.0
2017,2017 Toyota Prius Prime,1,125000,2.92,1,4,7.86,55,0,3,7960.0
2016,2015 Tesla Model S,1,500000,2.04,1,3,32.57,55,0,5,29000.0
2016,2016 Chevrolet Volt,1,50000,2.49,1,3,15.45,45,0,1,13674.66667
2017,2016 Tesla Model X,1,425000,0.0,1,3,37.96,45,0,2,22874.0
2015,2014 Toyota Prius Plug-in,1,225000,2.9,1,3,9.14,45,0,3,9150.0
2017,2017 Chevrolet Volt,1,75000,2.54,0,4,16.91,35,1,1,12514.28571
2016,2016 BMW i3,1,275000,-0.97,1,4,19.91,35,0,2,11826.66667
2015,2014 Nissan Leaf,1,275000,2.53,1,3,19.37,45,0,4,16846.90909
2016,2016 Fiat 500e,1,125000,-3.0,1,2,3.73,45,0,2,4044.0
2016,2015 Ford C-Max Energi,1,375000,1.0,1,4,8.22,45,0,2,13932.0
2016,2016 Fiat 500e,1,225000,2.36,1,2,3.06,45,1,3,9199.2
2017,2017 Toyota Mirai,1,125000,0.05,1,3,18.43,45,0,2,26800.0
2015,2014 BMW i3,1,175000,2.8,1,3,33.75,45,0,4,10800.0
2016,2015 Nissan Leaf,1,225000,0.14,1,3,1.45,45,0,2,8347.826087
2017,2016 Ford C-Max Energi,1,375000,2.76,0,3,1.74,45,1,3,11993.14286
2017,2016 Volkswagen e-Golf,1,125000,0.0,0,4,9.43,35,0,2,7924.0
2017,2017 BMW i3,1,375000,2.65,1,4,14.57,45,0,2,10050.0
2017,2016 Nissan Leaf,1,75000,2.65,0,3,24.86,35,0,2,12000.0
2015,2013 Ford C-Max Energi,1,125000,2.65,1,4,20.85,75,0,3,10328.44444
2015,2013 Nissan Leaf,1,275000,2.79,1,4,24.06,45,0,3,12644.21053
2016,2016 Nissan Leaf,1,375000,2.69,1,3,23.25,45,0,2,11000.0
2017,2017 Nissan Leaf,1,50000,1.69,1,3,15.43,55,1,4,6400.0
2015,2014 Fiat 500e,1,125000,2.65,1,3,16.39,35,1,3,9000.0
2016,2015 Tesla Model S,1,500000,-0.76,1,4,33.87,35,0,3,8000.0
2016,2015 Tesla Model S,1,425000,1.27,0,3,7.86,35,0,2,6059.142857
2015,2014 Fiat 500e,1,325000,2.66,1,3,17.75,55,0,5,12031.2
2016,2015 Tesla Model S,1,225000,-1.47,1,4,67.64,45,1,2,15692.30769
2016,2015 Nissan Leaf,1,500000,1.67,1,3,31.26,45,0,3,13636.36364
2015,2013 Ford C-Max Energi,1,75000,1.55,1,2,22.54,55,1,2,25188.0
2015,2014 Chevrolet Volt,1,125000,2.67,1,4,17.11,45,0,2,12072.75
2015,2014 Chevrolet Volt,1,225000,2.94,1,3,128.12,65,0,5,24600.0
2017,2013 Toyota Prius Plug-in,1,175000,-3.0,1,3,46.94,45,0,3,26938.77551
2017,2016 Volkswagen e-Golf,1,175000,2.69,1,4,17.18,55,1,4,6000.0
2015,2014 Toyota Prius Plug-in,1,50000,2.74,0,4,61.83,45,0,1,17564.0
2016,2015 Tesla Model S,1,325000,2.56,1,4,26.55,45,0,4,225529.5
2017,2017 Toyota Mirai,1,175000,2.63,1,3,28.6,55,0,3,11333.33333
2015,2013 Nissan Leaf,1,125000,1.83,1,3,3.79,65,0,3,5946.0
2017,2016 BMW i3,1,175000,2.9,0,4,8.69,35,1,1,5165.454545
2017,2017 BMW i3,1,175000,2.55,0,2,17.09,55,0,2,8314.5
2015,2014 Ford C-Max Energi,1,125000,0.51,1,3,10.1,65,0,2,24480.0
2015,2011 Chevrolet Volt,1,125000,1.48,1,3,17.33,65,1,2,11243.02041
2016,2015 Ford C-Max Energi,1,75000,2.73,1,4,2.53,65,0,2,8720.727273
2016,2015 Tesla Model S,1,475000,1.72,1,2,5.11,75,0,4,9768.0
2017,2017 Chevrolet Volt,1,50000,1.61,1,3,2.99,45,1,1,9750.0
2016,2016 Chevrolet Volt,1,275000,2.85,1,4,4.52,65,0,2,-21030.0
2017,2017 Chevrolet Bolt EV,1,225000,1.43,1,4,50.94,35,1,4,12570.0
2015,2013 Chevrolet Volt,1,500000,2.65,1,4,41.58,45,0,3,13500.0
2015,2014 Toyota RAV4 EV,1,175000,2.53,0,4,10.35,45,0,2,10400.0
2017,2013 Nissan Leaf,1,125000,2.79,1,4,4.92,55,1,2,18870.78261
2015,2013 Ford Fusion Energi,1,500000,0.0,1,4,3.69,65,0,2,8340.0
2016,2014 Nissan Leaf,1,425000,2.8,1,4,29.3,45,0,4,10909.09091
2015,2014 Nissan Leaf,1,425000,1.38,1,4,19.23,55,0,2,10800.0
2017,2017 Chevrolet Volt,1,75000,0.0,1,3,10.2,45,0,1,9000.0
2016,2015 Tesla Model S,1,500000,1.67,1,4,6.63,35,0,5,7900.0
2015,2013 Ford Fusion Energi,1,125000,2.27,1,3,18.97,35,0,2,6240.0
2017,2017 Chevrolet Bolt EV,1,125000,1.55,0,3,32.9,35,0,2,25500.0
2015,2014 Mercedes-Benz B-Class Electric Drive,1,125000,2.81,1,4,16.38,75,1,2,10332.0
2015,2014 Chevrolet Spark EV,1,225000,1.49,1,4,25.29,45,0,2,10483.63636
2016,2017 Chevrolet Volt,1,125000,2.51,1,4,20.82,65,0,2,-27300.0
2017,2017 Audi A3 Sportback e-tron,1,225000,-1.54,0,3,22.94,35,1,1,-21000.0
2016,2015 Tesla Model S,1,500000,2.57,1,4,11.24,45,0,2,24705.88235
2017,2016 Volkswagen e-Golf,1,225000,2.58,0,4,18.81,35,0,2,13600.0
2016,2015 Ford C-Max Energi,1,75000,-0.46,1,4,27.02,35,1,1,11294.11765
2015,2014 Toyota Prius Plug-in,1,175000,-0.83,1,3,40.86,35,0,2,24000.0
2017,2017 Chevrolet Volt,1,75000,-1.49,1,3,6.36,45,1,4,17528.0
2017,2016 Nissan Leaf,1,125000,2.78,1,4,12.19,55,0,2,9288.0
2016,2014 BMW i3,1,275000,2.75,1,4,66.31,45,1,3,18750.0
2017,2017 Chevrolet Volt,1,175000,-3.0,1,4,25.94,65,0,2,19714.28571
2017,2017 Audi A3 Sportback e-tron,1,50000,2.83,0,4,21.59,25,0,2,13400.0
2016,2015 Ford C-Max Energi,1,325000,2.5,1,3,22.86,45,1,4,13617.0
2017,2017 Volkswagen  E-Golf,1,75000,-2.89,0,4,25.65,35,0,2,14589.6
2015,2014 Ford Focus Electric,1,125000,1.49,1,4,10.77,75,1,2,9030.857143
2015,2014 Toyota Prius Plug-in,1,75000,2.76,1,4,4.45,65,1,1,6419.142857
2016,2015 Tesla Model S,1,75000,2.76,1,4,100.39,75,0,2,11750.76923
2016,2015 Tesla Model S,1,375000,-0.44,1,4,26.97,45,0,3,25714.28571
2017,2016 Volkswagen e-Golf,1,325000,2.64,1,4,19.62,45,0,2,7636.363636
2016,2016 Chevrolet Volt,1,275000,2.7,0,4,1.4,45,0,2,9720.0
2017,2016 Volkswagen e-Golf,1,500000,0.0,1,3,2.03,35,1,3,2675.0
2016,2016 Chevrolet Volt,1,125000,0.0,0,2,13.49,35,0,3,11828.57143
2015,2013 Chevrolet Volt,1,75000,2.66,1,4,0.0,65,0,2,13276.90909
2015,2014 Fiat 500e,1,75000,2.49,1,3,14.19,35,1,2,14400.0
2015,2012 Chevrolet Volt,1,175000,2.61,1,3,27.39,45,0,2,15636.36364
2016,2015 BMW i3,1,50000,2.76,1,3,22.82,45,0,2,9376.0
2017,2017 Toyota Prius Prime,1,175000,1.34,1,3,37.43,45,1,2,20400.0
2016,2015 Tesla Model S,1,500000,-2.95,1,3,26.44,55,0,2,29749.33333
2017,2016 Volkswagen e-Golf,1,275000,2.82,1,4,8.34,55,0,4,6361.2
2017,2017 Chevrolet Bolt EV,1,125000,2.7,1,3,16.6,55,0,2,12992.0
2017,2016 Nissan Leaf,1,75000,2.61,0,4,2.49,35,1,2,8571.428571
2017,2017 Chevrolet Bolt EV,1,175000,2.89,1,3,20.62,35,1,2,24972.0
2017,2017 Chevrolet Volt,1,225000,2.66,1,3,5.26,45,0,2,8344.5
2015,2013 Nissan Leaf,1,275000,2.33,1,3,32.06,45,0,2,13573.84615
2016,2015 Chevrolet Volt,1,325000,2.87,1,3,31.5,55,0,2,16408.42105
2015,2013 Ford C-Max Energi,1,175000,1.2,1,4,5.22,45,1,3,14500.44444
2016,2015 Nissan Leaf,1,175000,-2.44,1,3,12.86,45,0,2,11400.0
2015,2014 Ford Focus Electric,1,425000,1.35,1,4,5.66,45,0,3,6916.571429
2017,2017 Tesla Model X,1,275000,2.78,1,4,9.64,35,1,1,18372.0
2015,2014 Nissan Leaf,1,375000,1.73,1,4,19.6,45,1,2,8075.2
2015,2013 Ford Fusion Energi,1,325000,2.73,0,4,0.3,55,0,3,12500.0
2017,2017 Toyota Prius Prime,1,50000,2.95,0,2,56.05,35,0,2,17000.0
2015,2012 Nissan Leaf,1,125000,2.78,1,4,5.53,55,1,3,7095.555556
2017,2016 Tesla Model S,1,275000,2.61,1,4,9.66,55,0,2,13198.0
2016,2016 FIAT 500e,1,75000,2.59,0,3,14.45,45,1,3,8640.0
2017,2017 Chevrolet Bolt EV,1,125000,2.89,1,4,20.69,65,0,5,18740.0
2015,2013 Ford C-Max Energi,1,175000,2.34,1,3,17.35,55,0,2,10857.14286
2017,2016 Nissan Leaf,1,75000,1.81,0,4,9.02,35,1,5,12366.0
2017,2017 Nissan Leaf,1,175000,2.96,1,3,8.11,45,0,3,6000.0
2015,2014 Toyota Prius Plug-in,1,175000,2.73,1,2,4.97,55,0,4,11018.18182
2017,2016 Toyota Mirai,1,275000,2.95,1,3,9.62,45,0,2,10588.23529
2017,2017 Chevrolet Bolt EV,1,75000,-2.89,1,3,1.72,55,0,2,7078.0
2016,2016 Nissan Leaf,1,275000,2.75,1,4,31.48,55,0,3,10800.0
2015,2014 Toyota Prius Plug-in,1,50000,1.85,0,2,32.27,25,0,1,14769.23077
2015,2012 Chevrolet Volt,1,500000,0.19,1,4,1.97,65,0,2,14000.0
2017,2017 Toyota Prius Prime,1,275000,2.64,1,4,2.14,65,1,3,6171.428571
2015,2013 Honda Fit EV,1,325000,1.12,1,4,20.06,55,1,2,29845.5
2015,2013 Chevrolet Volt,1,175000,2.9,0,4,16.13,35,0,2,8831.571429
2017,2017 Chevrolet Bolt EV,1,275000,2.1,1,4,18.9,45,0,3,13200.0
2015,2013 Nissan Leaf,1,125000,2.59,1,4,5.18,45,0,4,12505.26316
2015,2015 Ford Focus Electric,1,175000,2.82,1,3,29.57,55,0,5,12000.0
2017,2016 Nissan Leaf,1,75000,2.75,0,4,12.8,35,0,1,7200.0
2016,2016 Chevrolet Volt,1,425000,2.45,1,3,13.63,35,0,2,6802.666667
2015,2014 Chevrolet Volt,1,225000,2.5,1,4,6.44,55,1,3,12705.88235
2017,2016 Volkswagen e-Golf,1,125000,-3.0,1,4,20.0,55,0,4,6360.0
2016,2015 Tesla Model S,1,175000,2.44,1,4,3.98,65,0,3,18325.5
2017,2014 Toyota Prius Plug-in,1,175000,2.78,1,3,3.56,65,0,1,9352.941176
2016,2016 FIAT 500e,1,275000,2.72,1,4,16.63,65,0,4,8600.0
2017,2016 Volkswagen e-Golf,1,375000,2.26,1,4,13.75,35,1,2,7636.363636
2016,2016 Volkswagen e-Golf,1,175000,2.67,1,4,18.87,55,0,3,12068.57143
