County,Year,Population,Percent Change,Numeric Change,CA Total
El Dorado,2020,"191,282",1.8,"3,377","39,541,786"
El Dorado,2021,"191,992",0.37,710,"39,368,613"
El Dorado ,2022,"191,185",0,-807,"39,538,223"
Fresno,2015,"970,859",0.82,"7,849","38,913,507"
Fresno,2016,"977,361",0.67,"6,502","39,127,855"
Fresno,2017,"985,393",0.82,"8,032","39,328,926"
Fresno,2018,"993,965",0.87,"8,572","39,476,064"
Fresno,2019,"1,001,640",0.77,"7,675","39,529,566"
Fresno,2020,"1,008,860",0.72,"7,220","39,541,786"
Fresno,2021,"1,013,744",0.48,"4,884","39,368,613"
Fresno ,2022,"1,008,654",-0.01,"-5,090","39,538,223"
Glenn,2015,"28,001",-0.26,-74,"38,913,507"
Glenn,2016,"28,005",0.01,4,"39,127,855"
Glenn,2017,"28,072",0.24,67,"39,328,926"
Glenn,2018,"28,134",0.22,62,"39,476,064"
Glenn,2019,"28,525",1.39,391,"39,529,566"
Glenn,2020,"28,822",1.04,297,"39,541,786"
Glenn,2021,"29,007",0.64,185,"39,368,613"
Glenn ,2022,"28,917",0,-90,"39,538,223"
Humboldt,2015,"136,348",0.47,638,"38,913,507"
Humboldt,2016,"137,346",0.73,998,"39,127,855"
Humboldt,2017,"137,492",0.11,146,"39,328,926"
Humboldt,2018,"137,493",0,1,"39,476,064"
Humboldt,2019,"136,740",-0.55,-753,"39,529,566"
Humboldt,2020,"136,514",-0.17,-226,"39,541,786"
Humboldt,2021,"135,467",-0.77,"-1,047","39,368,613"
Humboldt ,2022,"136,463",0.01,996,"39,538,223"
Imperial,2015,"179,952",0.55,985,"38,913,507"
Imperial,2016,"180,280",0.18,328,"39,127,855"
Imperial,2017,"180,627",0.19,347,"39,328,926"
Imperial,2018,"180,627",0,0,"39,476,064"
Imperial,2019,"180,809",0.1,182,"39,529,566"
Imperial,2020,"178,537",-1.26,"-2,272","39,541,786"
Imperial,2021,"177,052",-0.83,"-1,485","39,368,613"
Imperial ,2022,"179,702",0.01,"2,650","39,538,223"
Inyo,2015,"18,911",0.2,38,"38,913,507"
Inyo,2016,"18,956",0.24,45,"39,127,855"
Inyo,2017,"18,945",-0.06,-11,"39,328,926"
Inyo,2018,"18,953",0.04,8,"39,476,064"
Inyo,2019,"18,947",-0.03,-6,"39,529,566"
Inyo,2020,"18,977",0.16,30,"39,541,786"
Inyo,2021,"18,931",-0.24,-46,"39,368,613"
Inyo ,2022,"19,016",0,85,"39,538,223"
Kern,2015,"878,081",0.59,"5,168","38,913,507"
Kern,2016,"880,702",0.3,"2,621","39,127,855"
Kern,2017,"888,203",0.85,"7,501","39,328,926"
Kern,2018,"895,655",0.84,"7,452","39,476,064"
Kern,2019,"903,150",0.84,"7,495","39,529,566"
Kern,2020,"907,021",0.43,"3,871","39,541,786"
Kern,2021,"908,283",0.14,"1,262","39,368,613"
Kern ,2022,"909,235",0,952,"39,538,223"
Kings,2015,"148,525",0.02,31,"38,913,507"
Kings,2016,"147,615",-0.61,-910,"39,127,855"
Kings,2017,"148,933",0.89,"1,318","39,328,926"
Kings,2018,"151,040",1.41,"2,107","39,476,064"
Kings,2019,"151,691",0.43,651,"39,529,566"
Kings,2020,"153,085",0.92,"1,394","39,541,786"
Kings,2021,"153,617",0.35,532,"39,368,613"
Kings ,2022,"152,486",-0.01,"-1,131","39,538,223"
Lake,2015,"66,931",-1.1,-746,"38,913,507"
Lake,2016,"66,945",0.02,14,"39,127,855"
Lake,2017,"67,963",1.52,"1,018","39,328,926"
Lake,2018,"68,358",0.58,395,"39,476,064"
Lake,2019,"68,114",-0.36,-244,"39,529,566"
Lake,2020,"68,099",-0.02,-15,"39,541,786"
Lake,2021,"68,082",-0.02,-17,"39,368,613"
Lake ,2022,"68,163",0,81,"39,538,223"
Lassen,2015,"31,697",-3.14,"-1,028","38,913,507"
Lassen,2016,"32,309",1.93,612,"39,127,855"
Lassen,2017,"32,655",1.07,346,"39,328,926"
Lassen,2018,"32,936",0.86,281,"39,476,064"
Lassen,2019,"32,857",-0.24,-79,"39,529,566"
Lassen,2020,"32,025",-2.53,-832,"39,541,786"
Lassen,2021,"31,377",-2.02,-648,"39,368,613"
Lassen ,2022,"32,730",0.04,"1,353","39,538,223"
Los Angeles,2015,"10,083,826",0.31,"31,328","38,913,507"
Los Angeles,2016,"10,099,858",0.16,"16,032","39,127,855"
Los Angeles,2017,"10,114,636",0.15,"14,778","39,328,926"
Los Angeles,2018,"10,100,671",-0.14,"-13,965","39,476,064"
Los Angeles,2019,"10,063,851",-0.36,"-36,820","39,529,566"
Los Angeles,2020,"10,012,474",-0.51,"-51,377","39,541,786"
Los Angeles,2021,"9,944,953",-0.67,"-67,521","39,368,613"
Los Angeles ,2022,"10,014,009",0.01,"69,056","39,538,223"
Madera,2015,"152,897",0.19,286,"38,913,507"
Madera,2016,"153,136",0.16,239,"39,127,855"
Madera,2017,"154,238",0.72,"1,102","39,328,926"
Madera,2018,"155,476",0.8,"1,238","39,476,064"
Madera,2019,"155,291",-0.12,-185,"39,529,566"
Madera,2020,"156,519",0.79,"1,228","39,541,786"
Madera,2021,"156,654",0.09,135,"39,368,613"
Madera ,2022,"156,255",0,-399,"39,538,223"
Marin,2015,"263,964",0.24,629,"38,913,507"
Marin,2016,"265,181",0.46,"1,217","39,127,855"
Marin,2017,"264,753",-0.16,-428,"39,328,926"
Marin,2018,"264,944",0.07,191,"39,476,064"
Marin,2019,"263,917",-0.39,"-1,027","39,529,566"
Marin,2020,"262,410",-0.57,"-1,507","39,541,786"
Marin,2021,"260,416",-0.76,"-1,994","39,368,613"
Marin ,2022,"262,321",0.01,"1,905","39,538,223"
Mariposa,2015,"152,897",0.19,286,"38,913,507"
Mariposa,2016,"153,136",0.16,239,"39,127,855"
Mariposa,2017,"154,238",0.72,"1,102","39,328,926"
Mariposa,2018,"155,476",0.8,"1,238","39,476,064"
Mariposa,2019,"155,291",-0.12,-185,"39,529,566"
Mariposa,2020,"156,519",0.79,"1,228","39,541,786"
Mariposa,2021,"156,654",0.09,135,"39,368,613"
Mariposa ,2022,"17,131",-8.14,"-139,523","39,538,223"
Mendocino,2015,"263,964",0.24,629,"38,913,507"
Mendocino,2016,"265,181",0.46,"1,217","39,127,855"
Mendocino,2017,"264,753",-0.16,-428,"39,328,926"
Mendocino,2018,"264,944",0.07,191,"39,476,064"
Mendocino,2019,"263,917",-0.39,"-1,027","39,529,566"
Mendocino,2020,"262,410",-0.57,"-1,507","39,541,786"
Mendocino,2021,"260,416",-0.76,"-1,994","39,368,613"
Mendocino ,2022,"91,601",-1.84,"-168,815","39,538,223"
Merced,2015,"17,732",-0.65,-116,"38,913,507"
Merced,2016,"17,644",-0.5,-88,"39,127,855"
Merced,2017,"17,502",-0.8,-142,"39,328,926"
Merced,2018,"17,345",-0.9,-157,"39,476,064"
Merced,2019,"17,213",-0.76,-132,"39,529,566"
Merced,2020,"17,123",-0.52,-90,"39,541,786"
Merced,2021,"17,044",-0.46,-79,"39,368,613"
Merced ,2022,"281,202",0.94,"264,158","39,538,223"
Modoc,2015,"90,198",0.1,90,"38,913,507"
Modoc,2016,"91,021",0.91,823,"39,127,855"
Modoc,2017,"91,609",0.65,588,"39,328,926"
Modoc,2018,"91,726",0.13,117,"39,476,064"
Modoc,2019,"91,727",0,1,"39,529,566"
Modoc,2020,"91,602",-0.14,-125,"39,541,786"
Modoc,2021,"90,806",-0.87,-796,"39,368,613"
Modoc ,2022,"8,700",-9.44,"-82,106","39,538,223"
Mono,2015,"267,099",0.58,"1,543","38,913,507"
Mono,2016,"268,701",0.6,"1,602","39,127,855"
Mono,2017,"272,610",1.45,"3,909","39,328,926"
Mono,2018,"274,871",0.83,"2,261","39,476,064"
Mono,2019,"278,157",1.2,"3,286","39,529,566"
Mono,2020,"280,873",0.98,"2,716","39,541,786"
Mono,2021,"283,193",0.83,"2,320","39,368,613"
Mono ,2022,"13,195",-20.46,"-269,998","39,538,223"
Monterey,2015,"8,952",-0.08,-7,"38,913,507"
Monterey,2016,"8,795",-1.75,-157,"39,127,855"
Monterey,2017,"8,691",-1.18,-104,"39,328,926"
Monterey,2018,"8,755",0.74,64,"39,476,064"
Monterey,2019,"8,709",-0.53,-46,"39,529,566"
Monterey,2020,"8,703",-0.07,-6,"39,541,786"
Monterey,2021,"8,592",-1.28,-111,"39,368,613"
Monterey ,2022,"439,035",0.98,"430,443","39,538,223"
Napa,2015,"13,548",-1.23,-169,"38,913,507"
Napa,2016,"13,389",-1.17,-159,"39,127,855"
Napa,2017,"13,355",-0.25,-34,"39,328,926"
Napa,2018,"13,222",-1,-133,"39,476,064"
Napa,2019,"13,227",0.04,5,"39,529,566"
Napa,2020,"13,185",-0.32,-42,"39,541,786"
Napa,2021,"13,073",-0.85,-112,"39,368,613"
Napa ,2022,"138,019",0.91,"124,946","39,538,223"
Nevada,2015,"433,478",1.13,"4,845","38,913,507"
Nevada,2016,"437,116",0.84,"3,638","39,127,855"
Nevada,2017,"438,011",0.2,895,"39,328,926"
Nevada,2018,"439,618",0.37,"1,607","39,476,064"
Nevada,2019,"440,874",0.29,"1,256","39,529,566"
Nevada,2020,"439,008",-0.42,"-1,866","39,541,786"
Nevada,2021,"439,703",0.16,695,"39,368,613"
Nevada ,2022,"102,241",-3.3,"-337,462","39,538,223"
Orange,2015,"140,955",0.35,494,"38,913,507"
Orange,2016,"141,089",0.1,134,"39,127,855"
Orange,2017,"140,299",-0.56,-790,"39,328,926"
Orange,2018,"139,558",-0.53,-741,"39,476,064"
Orange,2019,"138,965",-0.42,-593,"39,529,566"
Orange,2020,"138,433",-0.38,-532,"39,541,786"
Orange,2021,"137,600",-0.6,-833,"39,368,613"
Orange ,2022,"3,186,989",0.96,"3,049,389","39,538,223"
Placer,2015,"100,456",0.09,86,"38,913,507"
Placer,2016,"100,919",0.46,463,"39,127,855"
Placer,2017,"101,384",0.46,465,"39,328,926"
Placer,2018,"101,920",0.53,536,"39,476,064"
Placer,2019,"102,298",0.37,378,"39,529,566"
Placer,2020,"102,392",0.09,94,"39,541,786"
Placer,2021,"102,033",-0.35,-359,"39,368,613"
Placer ,2022,"404,739",0.75,"302,706","39,538,223"
Plumas,2015,"3,155,895",0.66,"20,725","38,913,507"
Plumas,2016,"3,170,359",0.46,"14,464","39,127,855"
Plumas,2017,"3,188,158",0.56,"17,799","39,328,926"
Plumas,2018,"3,193,464",0.17,"5,306","39,476,064"
Plumas,2019,"3,191,365",-0.07,"-2,099","39,529,566"
Plumas,2020,"3,184,513",-0.21,"-6,852","39,541,786"
Plumas,2021,"3,161,681",-0.72,"-22,832","39,368,613"
Plumas ,2022,"19,790",-158.76,"-3,141,891","39,538,223"
Riverside,2015,"376,215",1.02,"3,808","38,913,507"
Riverside,2016,"382,010",1.54,"5,795","39,127,855"
Riverside,2017,"388,773",1.77,"6,763","39,328,926"
Riverside,2018,"395,677",1.78,"6,904","39,476,064"
Riverside,2019,"401,671",1.51,"5,994","39,529,566"
Riverside,2020,"405,308",0.91,"3,637","39,541,786"
Riverside,2021,"409,044",0.92,"3,736","39,368,613"
Riverside ,2022,"2,418,185",0.83,"2,009,141","39,538,223"
Sacramento,2015,"19,701",-0.38,-75,"38,913,507"
Sacramento,2016,"19,672",-0.15,-29,"39,127,855"
Sacramento,2017,"19,642",-0.15,-30,"39,328,926"
Sacramento,2018,"19,575",-0.34,-67,"39,476,064"
Sacramento,2019,"19,807",1.19,232,"39,529,566"
Sacramento,2020,"19,666",-0.71,-141,"39,541,786"
Sacramento,2021,"19,659",-0.04,-7,"39,368,613"
Sacramento ,2022,"1,585,055",0.99,"1,565,396","39,538,223"
San Benito,2015,"2,313,162",0.94,"21,514","38,913,507"
San Benito,2016,"2,337,698",1.06,"24,536","39,127,855"
San Benito,2017,"2,361,995",1.04,"24,297","39,328,926"
San Benito,2018,"2,383,773",0.92,"21,778","39,476,064"
San Benito,2019,"2,400,535",0.7,"16,762","39,529,566"
San Benito,2020,"2,421,480",0.87,"20,945","39,541,786"
San Benito,2021,"2,431,647",0.42,"10,167","39,368,613"
San Benito ,2022,"64,209",-36.87,"-2,367,438","39,538,223"
San Bernardino,2015,"1,502,821",1.2,"17,815","38,913,507"
San Bernardino,2016,"1,520,401",1.17,"17,580","39,127,855"
San Bernardino,2017,"1,536,517",1.06,"16,116","39,328,926"
San Bernardino,2018,"1,554,668",1.18,"18,151","39,476,064"
San Bernardino,2019,"1,570,918",1.05,"16,250","39,529,566"
San Bernardino,2020,"1,585,666",0.94,"14,748","39,541,786"
San Bernardino,2021,"1,586,031",0.02,365,"39,368,613"
San Bernardino ,2022,"2,181,654",0.27,"595,623","39,538,223"
San Diego,2015,"59,220",1.2,705,"38,913,507"
San Diego,2016,"60,087",1.46,867,"39,127,855"
San Diego,2017,"60,733",1.08,646,"39,328,926"
San Diego,2018,"61,848",1.84,"1,115","39,476,064"
San Diego,2019,"63,282",2.32,"1,434","39,529,566"
San Diego,2020,"64,110",1.31,828,"39,541,786"
San Diego,2021,"64,924",1.27,814,"39,368,613"
San Diego ,2022,"3,298,634",0.98,"3,233,710","39,538,223"
San Francisco,2015,"2,119,575",0.72,"15,078","38,913,507"
San Francisco,2016,"2,132,121",0.59,"12,546","39,127,855"
San Francisco,2017,"2,147,291",0.71,"15,170","39,328,926"
San Francisco,2018,"2,160,036",0.59,"12,745","39,476,064"
San Francisco,2019,"2,174,437",0.67,"14,401","39,529,566"
San Francisco,2020,"2,181,983",0.35,"7,546","39,541,786"
San Francisco,2021,"2,181,258",-0.03,-725,"39,368,613"
San Francisco ,2022,"873,965",-1.5,"-1,307,293","39,538,223"
San Joaquin,2015,"3,248,371",0.62,"19,883","38,913,507"
San Joaquin,2016,"3,263,517",0.47,"15,146","39,127,855"
San Joaquin,2017,"3,276,113",0.39,"12,596","39,328,926"
San Joaquin,2018,"3,293,350",0.53,"17,237","39,476,064"
San Joaquin,2019,"3,294,272",0.03,922,"39,529,566"
San Joaquin,2020,"3,303,736",0.29,"9,464","39,541,786"
San Joaquin,2021,"3,288,455",-0.46,"-15,281","39,368,613"
San Joaquin ,2022,"779,233",-3.22,"-2,509,222","39,538,223"
San Luis Obispo,2015,"857,037",1.01,"8,563","38,913,507"
San Luis Obispo,2016,"863,546",0.76,"6,509","39,127,855"
San Luis Obispo,2017,"868,879",0.62,"5,333","39,328,926"
San Luis Obispo,2018,"872,338",0.4,"3,459","39,476,064"
San Luis Obispo,2019,"872,205",-0.02,-133,"39,529,566"
San Luis Obispo,2020,"870,985",-0.14,"-1,220","39,541,786"
San Luis Obispo,2021,"855,550",-1.77,"-15,435","39,368,613"
San Luis Obispo ,2022,"282,424",-2.03,"-573,126","39,538,223"
San Mateo,2015,"729,411",1.52,"10,913","38,913,507"
San Mateo,2016,"739,814",1.43,"10,403","39,127,855"
San Mateo,2017,"750,306",1.42,"10,492","39,328,926"
San Mateo,2018,"759,753",1.26,"9,447","39,476,064"
San Mateo,2019,"771,083",1.49,"11,330","39,529,566"
San Mateo,2020,"780,676",1.24,"9,593","39,541,786"
San Mateo,2021,"786,700",0.77,"6,024","39,368,613"
San Mateo ,2022,"764,442",-0.03,"-22,258","39,538,223"
Santa Barbara,2015,"279,800",0.33,913,"38,913,507"
Santa Barbara,2016,"281,681",0.67,"1,881","39,127,855"
Santa Barbara,2017,"282,103",0.15,422,"39,328,926"
Santa Barbara,2018,"282,952",0.3,849,"39,476,064"
Santa Barbara,2019,"282,617",-0.12,-335,"39,529,566"
Santa Barbara,2020,"282,996",0.13,379,"39,541,786"
Santa Barbara,2021,"278,607",-1.55,"-4,389","39,368,613"
Santa Barbara ,2022,"448,229",0.38,"169,622","39,538,223"
Santa Clara,2015,"761,484",0.86,"6,468","38,913,507"
Santa Clara,2016,"764,070",0.34,"2,586","39,127,855"
Santa Clara,2017,"765,601",0.2,"1,531","39,328,926"
Santa Clara,2018,"766,711",0.14,"1,110","39,476,064"
Santa Clara,2019,"766,312",-0.05,-399,"39,529,566"
Santa Clara,2020,"763,497",-0.37,"-2,815","39,541,786"
Santa Clara,2021,"756,655",-0.9,"-6,842","39,368,613"
Santa Clara ,2022,"1,936,259",0.61,"1,179,604","39,538,223"
Santa Cruz,2015,"442,188",0.86,"3,767","38,913,507"
Santa Cruz,2016,"444,277",0.47,"2,089","39,127,855"
Santa Cruz,2017,"445,801",0.34,"1,524","39,328,926"
Santa Cruz,2018,"447,666",0.42,"1,865","39,476,064"
Santa Cruz,2019,"448,815",0.26,"1,149","39,529,566"
Santa Cruz,2020,"448,659",-0.03,-156,"39,541,786"
Santa Cruz,2021,"443,121",-1.23,"-5,538","39,368,613"
Santa Cruz ,2022,"270,861",-0.64,"-172,260","39,538,223"
Shasta,2015,"1,914,457",1.22,"23,129","38,913,507"
Shasta,2016,"1,925,914",0.6,"11,457","39,127,855"
Shasta,2017,"1,932,947",0.37,"7,033","39,328,926"
Shasta,2018,"1,937,985",0.26,"5,038","39,476,064"
Shasta,2019,"1,936,521",-0.08,"-1,464","39,529,566"
Shasta,2020,"1,933,516",-0.16,"-3,005","39,541,786"
Shasta,2021,"1,913,113",-1.06,"-20,403","39,368,613"
Shasta ,2022,"182,155",-9.5,"-1,730,958","39,538,223"
Sierra,2015,"274,762",0.87,"2,376","38,913,507"
Sierra,2016,"275,452",0.25,690,"39,127,855"
Sierra,2017,"274,739",-0.26,-713,"39,328,926"
Sierra,2018,"273,527",-0.44,"-1,212","39,476,064"
Sierra,2019,"272,182",-0.49,"-1,345","39,529,566"
Sierra,2020,"272,360",0.07,178,"39,541,786"
Sierra,2021,"267,551",-1.77,"-4,809","39,368,613"
Sierra ,2022,"3,236",-81.68,"-264,315","39,538,223"
Siskiyou,2015,"180,812",-0.13,-242,"38,913,507"
Siskiyou,2016,"180,287",-0.29,-525,"39,127,855"
Siskiyou,2017,"181,095",0.45,808,"39,328,926"
Siskiyou,2018,"181,472",0.21,377,"39,476,064"
Siskiyou,2019,"181,387",-0.05,-85,"39,529,566"
Siskiyou,2020,"181,881",0.27,494,"39,541,786"
Siskiyou,2021,"182,072",0.11,191,"39,368,613"
Siskiyou ,2022,"44,076",-3.13,"-137,996","39,538,223"
Solano,2015,"3,213",-0.22,-7,"38,913,507"
Solano,2016,"3,220",0.22,7,"39,127,855"
Solano,2017,"3,233",0.4,13,"39,328,926"
Solano,2018,"3,232",-0.03,-1,"39,476,064"
Solano,2019,"3,233",0.03,1,"39,529,566"
Solano,2020,"3,233",0,0,"39,541,786"
Solano,2021,"3,217",-0.49,-16,"39,368,613"
Solano ,2022,"453,491",0.99,"450,274","39,538,223"
Sonoma,2015,"44,655",-0.33,-146,"38,913,507"
Sonoma,2016,"44,554",-0.23,-101,"39,127,855"
Sonoma,2017,"44,390",-0.37,-164,"39,328,926"
Sonoma,2018,"44,305",-0.19,-85,"39,476,064"
Sonoma,2019,"44,193",-0.25,-112,"39,529,566"
Sonoma,2020,"44,091",-0.23,-102,"39,541,786"
Sonoma,2021,"43,790",-0.68,-301,"39,368,613"
Sonoma ,2022,"488,863",0.91,"445,073","39,538,223"
Stanislaus,2015,"435,902",1.1,"4,749","38,913,507"
Stanislaus,2016,"441,224",1.22,"5,322","39,127,855"
Stanislaus,2017,"445,721",1.02,"4,497","39,328,926"
Stanislaus,2018,"449,091",0.76,"3,370","39,476,064"
Stanislaus,2019,"451,701",0.58,"2,610","39,529,566"
Stanislaus,2020,"453,405",0.38,"1,704","39,541,786"
Stanislaus,2021,"452,532",-0.19,-873,"39,368,613"
Stanislaus ,2022,"552,878",0.18,"100,346","39,538,223"
Sutter,2015,"500,553",0.48,"2,402","38,913,507"
Sutter,2016,"501,989",0.29,"1,436","39,127,855"
Sutter,2017,"501,111",-0.17,-878,"39,328,926"
Sutter,2018,"496,869",-0.85,"-4,242","39,476,064"
Sutter,2019,"492,668",-0.85,"-4,201","39,529,566"
Sutter,2020,"489,880",-0.57,"-2,788","39,541,786"
Sutter,2021,"485,110",-0.97,"-4,770","39,368,613"
Sutter ,2022,"99,633",-3.87,"-385,477","39,538,223"
Tehama,2015,"535,436",0.96,"5,104","38,913,507"
Tehama,2016,"540,856",1.01,"5,420","39,127,855"
Tehama,2017,"546,499",1.04,"5,643","39,328,926"
Tehama,2018,"549,544",0.56,"3,045","39,476,064"
Tehama,2019,"551,566",0.37,"2,022","39,529,566"
Tehama,2020,"553,995",0.44,"2,429","39,541,786"
Tehama,2021,"553,138",-0.15,-857,"39,368,613"
Tehama ,2022,"65,829",-7.4,"-487,309","39,538,223"
Trinity,2015,"95,844",0.66,627,"38,913,507"
Trinity,2016,"96,517",0.7,673,"39,127,855"
Trinity,2017,"97,771",1.3,"1,254","39,328,926"
Trinity,2018,"99,334",1.6,"1,563","39,476,064"
Trinity,2019,"101,046",1.72,"1,712","39,529,566"
Trinity,2020,"100,751",-0.29,-295,"39,541,786"
Trinity,2021,"101,478",0.72,727,"39,368,613"
Trinity ,2022,"16,112",-5.3,"-85,366","39,538,223"
Tulare,2015,"63,509",0.55,348,"38,913,507"
Tulare,2016,"63,999",0.77,490,"39,127,855"
Tulare,2017,"64,141",0.22,142,"39,328,926"
Tulare,2018,"64,568",0.67,427,"39,476,064"
Tulare,2019,"65,312",1.15,744,"39,529,566"
Tulare,2020,"65,643",0.51,331,"39,541,786"
Tulare,2021,"65,873",0.35,230,"39,368,613"
Tulare ,2022,"473,117",0.86,"407,244","39,538,223"
Tuolumne,2015,"14,228",0.54,77,"38,913,507"
Tuolumne,2016,"14,840",4.3,612,"39,127,855"
Tuolumne,2017,"15,498",4.43,658,"39,328,926"
Tuolumne,2018,"15,754",1.65,256,"39,476,064"
Tuolumne,2019,"16,054",1.9,300,"39,529,566"
Tuolumne,2020,"16,135",0.5,81,"39,541,786"
Tuolumne,2021,"16,047",-0.55,-88,"39,368,613"
Tuolumne ,2022,"55,620",0.71,"39,573","39,538,223"
Ventura,2015,"459,935",0.74,"3,377","38,913,507"
Ventura,2016,"462,223",0.5,"2,288","39,127,855"
Ventura,2017,"465,343",0.67,"3,120","39,328,926"
Ventura,2018,"467,656",0.5,"2,313","39,476,064"
Ventura,2019,"470,619",0.63,"2,963","39,529,566"
Ventura,2020,"473,482",0.61,"2,863","39,541,786"
Ventura,2021,"474,998",0.32,"1,516","39,368,613"
Ventura ,2022,"843,843",0.44,"368,845","39,538,223"
Yolo,2015,"55,104",0.02,9,"38,913,507"
Yolo,2016,"55,162",0.11,58,"39,127,855"
Yolo,2017,"55,032",-0.24,-130,"39,328,926"
Yolo,2018,"55,311",0.51,279,"39,476,064"
Yolo,2019,"55,316",0.01,5,"39,529,566"
Yolo,2020,"55,500",0.33,184,"39,541,786"
Yolo,2021,"54,811",-1.24,-689,"39,368,613"
Yolo ,2022,"216,403",0.75,"161,592","39,538,223"
Yuba,2015,"75,748",1.16,871,"38,913,507"
Yuba,2016,"76,782",1.37,"1,034","39,127,855"
Yuba,2017,"78,181",1.82,"1,399","39,328,926"
Yuba,2018,"79,043",1.1,862,"39,476,064"
Yuba,2019,"80,250",1.53,"1,207","39,529,566"
Yuba,2020,"81,468",1.52,"1,218","39,541,786"
Yuba,2021,"82,091",0.76,623,"39,368,613"
Yuba ,2022,"81,575",-0.01,-516,"39,538,223"
